tag,target,actual,published,dropped,drop_pct,p50_ms,p99_ms,p999_ms,cpu_max_m
J-bg-mosquitto,50.0,50.0,1501,0,0.0000,0.000,0.000,0.000,0
F1-nanomq-100,100.0,100.0,15005,0,0.0000,0.000,0.000,0.000,0
J-bg-lora,150.0,150.0,4501,0,0.0000,0.251,0.497,1.375,1073
J-bg-theengs,150.0,150.0,4501,0,0.0000,0.251,0.498,0.964,809
J-bg-zigbee,150.0,150.0,4501,0,0.0000,0.253,0.500,4.437,846
20260427T075313Z-zb-bench-loopback-pi5-F4-zb-bench,300.0,300.0,27003,0,0.0000,0.252,0.500,1.604,943
20260427T075852Z-lora-bench-loopback-pi5-F5-lora-bench,300.0,300.0,27003,0,0.0000,0.252,0.498,1.645,1266
A-baseline-500,500.0,500.0,75005,0,0.0000,0.251,0.497,0.988,444
F1-nanomq-500,500.0,500.0,75005,0,0.0000,0.000,0.000,0.000,0
flat-C-trace-500,500.0,500.0,45003,0,0.0000,0.251,0.497,1.151,627
5min-D-soak-rho09,900.0,900.0,1350005,0,0.0000,0.251,0.497,1.166,600
E-pgbench,900.0,900.0,27001,0,0.0000,0.252,0.499,1.718,612
A-baseline-1k,1000.0,1000.0,150005,0,0.0000,0.251,0.497,1.142,681
F1-nanomq-1k,1000.0,1000.0,150005,0,0.0000,0.000,0.000,0.000,0
F2-mosq-1k,1000.0,1000.0,150005,0,0.0000,0.000,0.000,0.000,0
F3-coordnoop-1k,1000.0,1000.0,150005,0,0.0000,0.000,0.000,0.000,322
A-baseline-2k,2000.0,2000.0,300005,0,0.0000,0.251,0.497,1.325,786
B-debug-log-2k-flat,2000.0,2000.0,300005,0,0.0000,0.258,0.981,4.172,1125
B-debug-no-log-batch-2k-flat,2000.0,2000.0,300005,0,0.0000,0.258,0.974,4.159,1130
B-engine-par2-2k-flat,2000.0,2000.0,300005,0,0.0000,0.255,0.903,4.410,892
B-engine-par4-2k-flat,2000.0,2000.0,300005,0,0.0000,0.264,1.648,4.928,1036
B-engine-par8-2k-flat,2000.0,2000.0,300005,0,0.0000,0.281,3.622,9.418,1044
B-engine-seq-2k-flat,2000.0,2000.0,300005,0,0.0000,0.252,0.500,2.522,1129
B-no-audit-2k-flat,2000.0,2000.0,300005,0,0.0000,0.252,0.498,1.868,1112
B-no-cache-2k-flat,2000.0,2000.0,300005,280951,93.6488,0.251,0.497,1.622,1370
B-no-device-state-2k-flat,2000.0,2000.0,300005,0,0.0000,0.251,0.497,1.659,866
B-no-log-batch-2k-flat,2000.0,2000.0,300005,0,0.0000,0.252,0.498,2.287,994
B-no-msg-persistence-2k-flat,2000.0,2000.0,300005,0,0.0000,0.252,0.498,1.799,1012
B-no-rollup-2k-flat,2000.0,2000.0,300005,0,0.0000,0.252,0.500,2.762,1064
B-storage-noop-2k-flat,2000.0,2000.0,300005,0,0.0000,0.000,0.000,0.000,490
F1-nanomq-2k,2000.0,2000.0,300005,0,0.0000,0.000,0.000,0.000,0
F2-mosq-2k,2000.0,2000.0,300005,0,0.0000,0.000,0.000,0.000,0
F3-coordnoop-2k,2000.0,2000.0,300005,0,0.0000,0.000,0.000,0.000,594
H-breaking-2k,2000.0,2000.0,300005,0,0.0000,0.252,0.499,2.622,1106
H-tight-2k,2000.0,2000.0,300005,0,0.0000,0.252,0.499,2.606,1060
flat-C-trace-2k,2000.0,2000.0,180003,0,0.0000,0.253,0.507,3.055,1207
A-baseline-4k,4000.0,4000.0,600005,220,0.0367,0.253,0.557,2.481,1399
B-debug-log-4k-flat,4000.0,4000.0,600003,67321,11.2201,0.263,1.704,6.377,1460
B-debug-no-log-batch-4k-flat,4000.0,4000.0,600005,86365,14.3940,0.264,1.723,7.324,1448
B-engine-par2-4k-flat,4000.0,4000.0,600005,3429,0.5715,0.264,1.937,8.048,1467
B-engine-par4-4k-flat,4000.0,4000.0,600005,3174,0.5290,0.299,3.795,16.928,1429
B-engine-par8-4k-flat,4000.0,4000.0,600005,3117,0.5195,0.395,4.827,32.107,1321
B-engine-seq-4k-flat,4000.0,4000.0,600005,6110,1.0183,0.255,0.990,4.865,1446
B-no-audit-4k-flat,4000.0,4000.0,600005,723,0.1205,0.253,0.686,3.753,1467
B-no-cache-4k-flat,4000.0,4000.0,600005,580693,96.7814,0.251,0.498,3.290,1466
B-no-device-state-4k-flat,4000.0,4000.0,600005,0,0.0000,0.254,0.744,4.098,1471
B-no-log-batch-4k-flat,4000.0,4000.0,600005,3212,0.5353,0.255,0.931,4.627,1454
B-no-msg-persistence-4k-flat,4000.0,4000.0,600005,949,0.1582,0.254,0.853,4.528,1423
B-no-rollup-4k-flat,4000.0,4000.0,600005,5106,0.8510,0.255,0.927,4.534,1456
B-storage-noop-4k-flat,4000.0,4000.0,600005,0,0.0000,0.000,0.000,0.000,877
F1-nanomq-4k,4000.0,4000.0,600005,0,0.0000,0.000,0.000,0.000,0
F2-mosq-4k,4000.0,4000.0,600005,0,0.0000,0.000,0.000,0.000,0
F3-coordnoop-4k,4000.0,4000.0,600005,0,0.0000,0.000,0.000,0.000,865
G-saturate-4k,4000.0,4000.0,360003,22106,6.1405,0.255,1.026,9.199,1475
H-breaking-4k,4000.0,4000.0,600005,3325,0.5542,0.255,0.997,4.909,1411
H-tight-4k,4000.0,4000.0,600005,3178,0.5297,0.256,1.083,4.978,1485
flat-C-trace-4k,4000.0,4000.0,360003,4095,1.1375,0.255,1.053,4.965,1385
G-saturate-6k,6000.0,6000.0,540003,264515,48.9840,0.255,1.046,12.182,1478
F1-nanomq-8k,8000.0,7999.9,1200005,0,0.0000,0.000,0.000,0.000,0
F2-mosq-8k,8000.0,7999.9,1200002,0,0.0000,0.000,0.000,0.000,0
F3-coordnoop-8k,8000.0,7999.9,1200005,0,0.0000,0.000,0.000,0.000,1353
G-saturate-10k,10000.0,9999.9,900003,734633,81.6256,0.259,1.858,28.476,1476
G-saturate-bbig,10000.0,9999.9,900003,724880,80.5420,0.258,1.761,24.906,1486
F1-nanomq-16k,16000.0,14496.4,2400001,0,0.0000,0.000,0.000,0.000,0
F2-mosq-16k,16000.0,15999.8,2400003,0,0.0000,0.000,0.000,0.000,0
F1-nanomq-32k,32000.0,15944.7,4793117,0,0.0000,0.000,0.000,0.000,0
