ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777256262	0.83	1.75	1.96	1553	6384	15	9084524917	1322910307
1777256273	0.99	1.75	1.96	1612	6324	15	9085615286	1325313998
1777256284	0.84	1.69	1.94	1597	6339	15	9085746004	1325626942
1777256295	1.01	1.70	1.94	1633	6303	15	9086809332	1326257052
1777256306	0.86	1.64	1.92	1649	6287	15	9087869962	1326852441
1777256318	1.08	1.66	1.92	1666	6270	15	9088567007	1327362783
1777256329	0.92	1.60	1.90	1646	6290	15	9088622593	1327572218
1777256340	0.78	1.55	1.88	1647	6289	15	9089165092	1328041597
1777256352	0.73	1.51	1.86	1647	6290	15	9090222764	1328637204
1777256363	1.08	1.55	1.87	1655	6281	15	9091514213	1329644751
1777256374	0.92	1.50	1.85	1654	6282	15	9091873342	1330103068
1777256385	1.02	1.50	1.84	1681	6256	15	9091938911	1330346042
1777256397	1.01	1.49	1.83	1661	6275	15	9092933608	1330939033
1777256408	1.49	1.56	1.85	1663	6274	15	9093993901	1331569148
1777256419	1.33	1.53	1.84	1664	6272	15	9094815624	1332119248
1777256430	1.21	1.49	1.82	1663	6273	15	9094871106	1332328777
1777256442	1.02	1.44	1.80	1648	6288	15	9095250879	1332727526
1777256453	1.54	1.55	1.83	1668	6268	15	9096358597	1333359724
1777256464	1.71	1.58	1.84	1659	6278	15	9097423699	1333989559
1777256476	1.44	1.53	1.82	1626	6310	15	9097810766	1334315127
1777256487	1.22	1.48	1.80	1640	6297	15	9097874300	1334550565
1777256498	1.46	1.52	1.81	1637	6299	15	9098732737	1335110808
1777256509	1.31	1.49	1.79	1625	6311	15	9099795530	1335741226
1777256520	1.11	1.44	1.77	1653	6284	15	9100746798	1336289232
1777256532	1.10	1.42	1.77	1654	6283	15	9100850782	1336635854
