ts	pod	phase	restarts	ready	reason	last_termination
1777256262	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256262	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256262	postgres-0	Running	0	true	<none>	<none>
1777256273	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256273	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256273	postgres-0	Running	0	true	<none>	<none>
1777256284	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256284	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256284	postgres-0	Running	0	true	<none>	<none>
1777256296	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256296	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256296	postgres-0	Running	0	true	<none>	<none>
1777256307	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256307	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256307	postgres-0	Running	0	true	<none>	<none>
1777256318	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256318	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256318	postgres-0	Running	0	true	<none>	<none>
1777256330	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256330	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256330	postgres-0	Running	0	true	<none>	<none>
1777256341	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256341	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256341	postgres-0	Running	0	true	<none>	<none>
1777256352	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256352	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256352	postgres-0	Running	0	true	<none>	<none>
1777256363	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256363	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256363	postgres-0	Running	0	true	<none>	<none>
1777256374	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256374	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256374	postgres-0	Running	0	true	<none>	<none>
1777256386	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256386	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256386	postgres-0	Running	0	true	<none>	<none>
1777256397	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256397	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256397	postgres-0	Running	0	true	<none>	<none>
1777256408	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256408	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256408	postgres-0	Running	0	true	<none>	<none>
1777256420	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256420	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256420	postgres-0	Running	0	true	<none>	<none>
1777256431	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256431	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256431	postgres-0	Running	0	true	<none>	<none>
1777256442	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256442	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256442	postgres-0	Running	0	true	<none>	<none>
1777256454	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256454	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256454	postgres-0	Running	0	true	<none>	<none>
1777256465	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256465	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256465	postgres-0	Running	0	true	<none>	<none>
1777256476	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256476	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256476	postgres-0	Running	0	true	<none>	<none>
1777256487	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256487	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256487	postgres-0	Running	0	true	<none>	<none>
1777256499	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256499	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256499	postgres-0	Running	0	true	<none>	<none>
1777256510	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256510	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256510	postgres-0	Running	0	true	<none>	<none>
1777256521	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256521	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256521	postgres-0	Running	0	true	<none>	<none>
1777256532	hermod-coordinator-6b6ff849ff-ljl7h	Running	0	true	<none>	<none>
1777256532	nanomq-7c49cc5d49-f4gtc	Running	0	true	<none>	<none>
1777256532	postgres-0	Running	0	true	<none>	<none>
