ts	repeat	pod	cpu	mem
1777256284	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256284	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256284	1	postgres-0	47m	42Mi
1777256285	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256285	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256285	1	postgres-0	47m	42Mi
1777256286	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256286	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256286	1	postgres-0	47m	42Mi
1777256287	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256287	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256287	1	postgres-0	47m	42Mi
1777256288	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256288	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256288	1	postgres-0	47m	42Mi
1777256289	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256289	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256289	1	postgres-0	47m	42Mi
1777256290	1	hermod-coordinator-6b6ff849ff-ljl7h	374m	86Mi
1777256290	1	nanomq-7c49cc5d49-f4gtc	1m	1Mi
1777256290	1	postgres-0	47m	42Mi
1777256291	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256291	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256291	1	postgres-0	61m	44Mi
1777256292	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256292	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256292	1	postgres-0	61m	44Mi
1777256293	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256293	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256293	1	postgres-0	61m	44Mi
1777256294	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256294	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256294	1	postgres-0	61m	44Mi
1777256295	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256295	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256295	1	postgres-0	61m	44Mi
1777256296	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
1777256296	1	nanomq-7c49cc5d49-f4gtc	12m	1Mi
1777256296	1	postgres-0	61m	44Mi
1777256297	1	hermod-coordinator-6b6ff849ff-ljl7h	327m	94Mi
