ts	repeat	pod	cpu	mem
1777256879	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256879	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256879	1	postgres-0	72m	47Mi
1777256880	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256880	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256880	1	postgres-0	72m	47Mi
1777256881	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256881	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256881	1	postgres-0	72m	47Mi
1777256882	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256882	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256882	1	postgres-0	72m	47Mi
1777256883	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256883	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256883	1	postgres-0	72m	47Mi
1777256884	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256884	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256884	1	postgres-0	72m	47Mi
1777256885	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256885	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256885	1	postgres-0	72m	47Mi
1777256886	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256886	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256886	1	postgres-0	72m	47Mi
1777256888	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256888	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256888	1	postgres-0	72m	47Mi
1777256889	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256889	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256889	1	postgres-0	72m	47Mi
1777256890	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256890	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256890	1	postgres-0	72m	47Mi
1777256891	1	hermod-coordinator-788cdc665d-msp2c	668m	94Mi
1777256891	1	nanomq-b48cc5758-6fhlf	1m	1Mi
1777256891	1	postgres-0	72m	47Mi
1777256892	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256892	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256892	1	postgres-0	41m	47Mi
1777256893	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256893	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256893	1	postgres-0	41m	47Mi
1777256894	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256894	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256894	1	postgres-0	41m	47Mi
1777256895	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256895	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256895	1	postgres-0	41m	47Mi
1777256896	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256896	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256896	1	postgres-0	41m	47Mi
1777256897	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256897	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256897	1	postgres-0	41m	47Mi
1777256898	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256898	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256898	1	postgres-0	41m	47Mi
1777256899	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256899	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256899	1	postgres-0	41m	47Mi
1777256900	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256900	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256900	1	postgres-0	41m	47Mi
1777256901	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256901	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256901	1	postgres-0	41m	47Mi
1777256902	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256902	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256902	1	postgres-0	41m	47Mi
1777256903	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256903	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256903	1	postgres-0	41m	47Mi
1777256904	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256904	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256904	1	postgres-0	41m	47Mi
1777256906	1	hermod-coordinator-788cdc665d-msp2c	711m	133Mi
1777256906	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256906	1	postgres-0	41m	47Mi
1777256907	1	hermod-coordinator-788cdc665d-msp2c	786m	139Mi
1777256907	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256907	1	postgres-0	117m	47Mi
1777256908	1	hermod-coordinator-788cdc665d-msp2c	786m	139Mi
1777256908	1	nanomq-b48cc5758-6fhlf	272m	1Mi
1777256908	1	postgres-0	117m	47Mi
1777256930	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256930	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256930	2	postgres-0	143m	47Mi
1777256931	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256931	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256931	2	postgres-0	143m	47Mi
1777256932	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256932	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256932	2	postgres-0	143m	47Mi
1777256933	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256933	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256933	2	postgres-0	143m	47Mi
1777256934	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256934	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256934	2	postgres-0	143m	47Mi
1777256935	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256935	2	nanomq-b48cc5758-6fhlf	480m	1Mi
1777256935	2	postgres-0	143m	47Mi
1777256937	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
1777256937	2	nanomq-b48cc5758-6fhlf	122m	1Mi
1777256937	2	postgres-0	7m	47Mi
1777256938	2	hermod-coordinator-788cdc665d-msp2c	269m	145Mi
