ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777257145	1.77	1.70	1.70	1567	6369	16	9184164313	1365901790
1777257157	1.72	1.70	1.70	1568	6368	16	9184220866	1366154190
1777257168	1.73	1.70	1.70	1571	6365	16	9184561226	1367020553
1777257179	1.54	1.66	1.69	1602	6334	16	9185393859	1368902886
1777257190	1.38	1.62	1.68	1634	6302	16	9187243371	1369373851
1777257202	3.15	1.99	1.80	1667	6270	16	9195038188	1370225866
1777257214	4.51	2.35	1.92	1661	6276	16	9202807343	1371078700
1777257225	4.12	2.34	1.92	1683	6253	16	9206033502	1371589318
1777257236	3.65	2.30	1.91	1680	6257	16	9206089884	1371824504
1777257247	4.13	2.44	1.96	1665	6272	16	9211224066	1372534003
1777257259	4.48	2.61	2.02	1660	6276	16	9219064735	1373358844
1777257270	4.80	2.74	2.07	1652	6285	16	9226682832	1374207578
1777257281	4.21	2.68	2.06	1668	6268	16	9226741471	1374450533
1777257292	4.58	2.81	2.11	1654	6282	16	9227772418	1374824815
1777257304	5.60	3.12	2.22	1660	6277	16	9235590044	1375684372
1777257315	5.99	3.29	2.29	1660	6276	16	9243352085	1376505290
1777257327	5.67	3.31	2.31	1666	6271	16	9247398718	1377076773
1777257338	4.57	3.18	2.28	1653	6283	16	9247455203	1377311927
1777257349	4.72	3.26	2.31	1656	6280	16	9252169178	1377972815
1777257360	5.05	3.38	2.36	1669	6267	16	9259930699	1378829835
1777257372	5.05	3.43	2.39	1664	6273	16	9267677163	1379651245
1777257383	4.08	3.30	2.36	1672	6265	16	9268114561	1379972587
1777257394	3.77	3.25	2.36	1688	6249	16	9268760861	1380300165
1777257406	4.14	3.35	2.40	1657	6279	16	9276512033	1381203187
1777257418	5.17	3.61	2.50	1672	6264	16	9284379131	1382062596
1777257429	5.19	3.67	2.53	1685	6251	16	9288767967	1382644729
1777257440	4.46	3.57	2.51	1687	6249	16	9288824659	1382880055
