ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777258053	1	130144	8384620	18	359438	4463	0	4096
1777258064	1	163416	8606084	21	380028	162660	0	4096
1777258075	1	182864	8606068	21	405530	335410	0	4096
1777258087	1	230096	8755504	23	2409234	335428	0	4096
1777258098	1	241692	8755500	23	10311807	336866	0	4096
1777258110	1	241552	8755468	22	19117002	338438	0	4096
1777258121	1	240800	8755448	21	27787415	338700	0	4096
1777258132	1	241600	8755444	21	36603076	338716	0	4096
1777258144	1	249408	8755444	21	45055584	340158	0	4096
1777258155	1	251248	8755452	21	53524879	341612	0	4096
1777258166	1	250928	8755452	21	62153884	342683	0	4096
1777258178	1	214872	8755424	20	71236054	342683	0	4096
1777258189	1	248544	8755448	21	79884895	343356	0	4096
1777258201	1	255824	8755448	21	88245341	344816	0	4096
1777258212	1	253572	8755452	21	96657674	346414	0	4096
1777258223	1	245696	8755424	20	105375296	346692	0	4096
1777258235	1	220960	8755424	20	114187208	346708	0	4096
1777258247	1	254512	8755448	21	123056390	348188	0	4096
1777258258	1	257992	8755448	21	131444197	349646	0	4096
1777258269	1	234976	8755452	21	139923877	350715	0	4096
1777258280	1	233968	8755448	21	148697882	350731	0	4096
1777258292	1	257436	8755444	21	157318717	351253	0	4096
1777258303	1	257076	8755444	21	165691784	352843	0	4096
1777258315	1	257100	8755424	20	174485275	354429	0	4096
1777258326	1	234408	8755420	20	183107231	354705	0	4096
