ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777258354	2.41	2.85	2.79	1559	6378	16	9481772010	1429648331
1777258366	2.27	2.81	2.77	1595	6341	16	9482877958	1432108939
1777258377	1.92	2.71	2.74	1629	6307	16	9483104196	1432468296
1777258389	2.93	2.90	2.81	1658	6278	16	9490879092	1433291477
1777258400	3.23	2.97	2.83	1675	6262	16	9498632397	1434148317
1777258411	3.33	3.01	2.84	1676	6260	16	9503517291	1434783307
1777258423	3.13	2.97	2.83	1664	6272	16	9503573910	1435022849
1777258434	3.46	3.05	2.86	1688	6248	16	9507513611	1435630768
1777258445	3.16	3.00	2.85	1710	6226	16	9515716149	1436503896
1777258457	3.21	3.02	2.85	1699	6238	16	9523515587	1437364378
1777258469	3.09	3.00	2.85	1679	6257	16	9524224104	1437664731
1777258480	2.85	2.95	2.83	1676	6260	16	9524597331	1437989118
1777258491	2.87	2.95	2.84	1693	6243	16	9532457695	1438853862
1777258503	2.89	2.96	2.84	1696	6241	16	9540264007	1439716383
1777258514	2.56	2.88	2.81	1687	6249	16	9544889148	1440346100
1777258526	2.69	2.90	2.82	1669	6267	16	9544945612	1440585293
1777258537	2.43	2.83	2.80	1704	6232	16	9549199355	1441201862
1777258549	3.22	2.99	2.85	1696	6240	16	9556984311	1442058348
1777258560	3.79	3.12	2.90	1699	6238	16	9564772659	1442918222
1777258571	3.68	3.12	2.90	1698	6238	16	9565587689	1443221612
1777258583	4.01	3.21	2.93	1728	6208	16	9566284602	1443555524
1777258595	4.24	3.29	2.96	1703	6234	16	9574176639	1444418340
1777258606	4.42	3.36	2.99	1725	6211	16	9581955611	1445279319
1777258617	4.04	3.31	2.98	1703	6234	16	9586243894	1445898460
1777258629	3.66	3.27	2.97	1706	6230	16	9586300254	1446137956
