ts	repeat	pod	cpu	mem
1777258377	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258377	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258377	1	postgres-0	36m	54Mi
1777258378	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258378	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258378	1	postgres-0	36m	54Mi
1777258379	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258379	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258379	1	postgres-0	36m	54Mi
1777258381	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258381	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258381	1	postgres-0	36m	54Mi
1777258382	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258382	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258382	1	postgres-0	36m	54Mi
1777258383	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258383	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258383	1	postgres-0	36m	54Mi
1777258384	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258384	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258384	1	postgres-0	36m	54Mi
1777258385	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258385	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258385	1	postgres-0	36m	54Mi
1777258386	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258386	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258386	1	postgres-0	36m	54Mi
1777258387	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258387	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258387	1	postgres-0	36m	54Mi
1777258388	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258388	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258388	1	postgres-0	36m	54Mi
1777258389	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258389	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258389	1	postgres-0	36m	54Mi
1777258390	1	hermod-coordinator-5d9748cbcd-qs6kj	1012m	90Mi
1777258390	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258390	1	postgres-0	36m	54Mi
1777258391	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258391	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258391	1	postgres-0	132m	59Mi
1777258392	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258392	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258392	1	postgres-0	132m	59Mi
1777258393	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258393	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258393	1	postgres-0	132m	59Mi
1777258394	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258394	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258394	1	postgres-0	132m	59Mi
1777258395	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258395	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258395	1	postgres-0	132m	59Mi
1777258396	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258396	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258396	1	postgres-0	132m	59Mi
1777258397	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258397	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258397	1	postgres-0	132m	59Mi
1777258398	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258398	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258398	1	postgres-0	132m	59Mi
1777258400	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258400	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258400	1	postgres-0	132m	59Mi
1777258401	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258401	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258401	1	postgres-0	132m	59Mi
1777258402	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
1777258402	1	nanomq-544d64b89f-c8h9d	1m	1Mi
1777258402	1	postgres-0	132m	59Mi
1777258403	1	hermod-coordinator-5d9748cbcd-qs6kj	182m	95Mi
