ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777258649	3.30	3.21	2.96	1566	6370	16	9586417474	1446742516
1777258661	3.16	3.19	2.95	1556	6381	16	9586474186	1447029024
1777258672	2.67	3.08	2.92	1571	6365	16	9586862577	1448011933
1777258683	2.36	3.00	2.89	1592	6344	16	9587647292	1449803384
1777258695	2.40	2.98	2.89	1632	6304	16	9588555857	1450267958
1777258706	2.51	2.98	2.89	1663	6274	16	9592586925	1451040375
1777258718	3.72	3.22	2.97	1709	6228	16	9596815988	1451864316
1777258730	3.47	3.17	2.96	1688	6248	16	9598265507	1452341528
1777258741	3.15	3.12	2.94	1703	6233	16	9598322133	1452587660
1777258752	3.39	3.17	2.96	1691	6246	16	9601083755	1453252318
1777258763	4.69	3.47	3.06	1697	6239	16	9605041775	1454022407
1777258774	4.34	3.44	3.06	1721	6215	16	9608859543	1454752640
1777258786	3.75	3.34	3.03	1748	6189	16	9608918005	1455006412
1777258797	3.17	3.23	3.00	1712	6224	16	9609744455	1455426541
1777258809	3.67	3.35	3.04	1752	6185	16	9613739127	1456163763
1777258820	3.10	3.23	3.01	1745	6191	16	9617691699	1456932552
1777258831	2.93	3.19	2.99	1757	6180	16	9619520330	1457457942
1777258843	2.48	3.09	2.96	1761	6176	16	9619581313	1457753465
1777258854	2.45	3.05	2.95	1800	6136	16	9622184243	1458411021
1777258866	2.23	2.98	2.93	1781	6156	16	9626128470	1459144587
1777258877	3.35	3.20	3.00	1790	6147	16	9630083959	1459878427
1777258888	3.13	3.16	2.99	1799	6137	16	9630174042	1460167892
1777258899	2.65	3.05	2.96	1780	6156	16	9630670742	1460541108
1777258911	3.17	3.15	2.99	1800	6136	16	9634622682	1461275403
1777258922	3.50	3.22	3.02	1811	6126	16	9638865046	1462098662
1777258936	3.14	3.16	3.00	1827	6109	16	9640761467	1462592473
