ts	pod	phase	restarts	ready	reason	last_termination
1777258966	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777258966	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777258966	postgres-0	Running	0	true	<none>	<none>
1777258977	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777258977	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777258977	postgres-0	Running	0	true	<none>	<none>
1777258988	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777258988	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777258988	postgres-0	Running	0	true	<none>	<none>
1777259000	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259000	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259000	postgres-0	Running	0	true	<none>	<none>
1777259011	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259011	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259011	postgres-0	Running	0	true	<none>	<none>
1777259023	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259023	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259023	postgres-0	Running	0	true	<none>	<none>
1777259034	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259034	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259034	postgres-0	Running	0	true	<none>	<none>
1777259045	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259045	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259045	postgres-0	Running	0	true	<none>	<none>
1777259058	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259058	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259058	postgres-0	Running	0	true	<none>	<none>
1777259070	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259070	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259070	postgres-0	Running	0	true	<none>	<none>
1777259081	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259081	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259081	postgres-0	Running	0	true	<none>	<none>
1777259092	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259092	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259092	postgres-0	Running	0	true	<none>	<none>
1777259104	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259104	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259104	postgres-0	Running	0	true	<none>	<none>
1777259115	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259115	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259115	postgres-0	Running	0	true	<none>	<none>
1777259127	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259127	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259127	postgres-0	Running	0	true	<none>	<none>
1777259139	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259139	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259139	postgres-0	Running	0	true	<none>	<none>
1777259150	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259150	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259150	postgres-0	Running	0	true	<none>	<none>
1777259161	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259161	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259161	postgres-0	Running	0	true	<none>	<none>
1777259174	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259174	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259174	postgres-0	Running	0	true	<none>	<none>
1777259185	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259185	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259185	postgres-0	Running	0	true	<none>	<none>
1777259197	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259197	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259197	postgres-0	Running	0	true	<none>	<none>
1777259208	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259208	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259208	postgres-0	Running	0	true	<none>	<none>
1777259220	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259220	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259220	postgres-0	Running	0	true	<none>	<none>
1777259231	hermod-coordinator-55b4c8dc98-hpbhv	Running	0	true	<none>	<none>
1777259231	nanomq-6f9c64f546-w97qh	Running	0	true	<none>	<none>
1777259231	postgres-0	Running	0	true	<none>	<none>
