ts	repeat	pod	cpu	mem
1777258989	1	hermod-coordinator-55b4c8dc98-hpbhv	622m	72Mi
1777258989	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258989	1	postgres-0	15m	198Mi
1777258990	1	hermod-coordinator-55b4c8dc98-hpbhv	622m	72Mi
1777258990	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258990	1	postgres-0	15m	198Mi
1777258991	1	hermod-coordinator-55b4c8dc98-hpbhv	622m	72Mi
1777258991	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258991	1	postgres-0	15m	198Mi
1777258992	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258992	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258992	1	postgres-0	104m	198Mi
1777258993	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258993	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258993	1	postgres-0	104m	198Mi
1777258994	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258994	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258994	1	postgres-0	104m	198Mi
1777258995	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258995	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258995	1	postgres-0	104m	198Mi
1777258996	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258996	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258996	1	postgres-0	104m	198Mi
1777258997	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258997	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258997	1	postgres-0	104m	198Mi
1777258998	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258998	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258998	1	postgres-0	104m	198Mi
1777258999	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777258999	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777258999	1	postgres-0	104m	198Mi
1777259000	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259000	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259000	1	postgres-0	104m	198Mi
1777259001	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259001	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259001	1	postgres-0	104m	198Mi
1777259002	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259002	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259002	1	postgres-0	104m	198Mi
1777259003	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259003	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259003	1	postgres-0	104m	198Mi
1777259005	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259005	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259005	1	postgres-0	104m	198Mi
1777259006	1	hermod-coordinator-55b4c8dc98-hpbhv	411m	94Mi
1777259006	1	nanomq-6f9c64f546-w97qh	1m	1Mi
1777259006	1	postgres-0	104m	198Mi
1777259007	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259007	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259007	1	postgres-0	212m	207Mi
1777259008	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259008	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259008	1	postgres-0	212m	207Mi
1777259009	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259009	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259009	1	postgres-0	212m	207Mi
1777259010	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259010	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259010	1	postgres-0	212m	207Mi
1777259011	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259011	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259011	1	postgres-0	212m	207Mi
1777259012	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259012	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259012	1	postgres-0	212m	207Mi
1777259013	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259013	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259013	1	postgres-0	212m	207Mi
1777259014	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259014	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259014	1	postgres-0	212m	207Mi
1777259015	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259015	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259015	1	postgres-0	212m	207Mi
1777259016	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259016	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259016	1	postgres-0	212m	207Mi
1777259017	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259017	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259017	1	postgres-0	212m	207Mi
1777259018	1	hermod-coordinator-55b4c8dc98-hpbhv	1456m	215Mi
1777259018	1	nanomq-6f9c64f546-w97qh	444m	2Mi
1777259018	1	postgres-0	212m	207Mi
1777259040	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259040	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259040	2	postgres-0	6m	211Mi
1777259041	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259041	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259041	2	postgres-0	6m	211Mi
1777259043	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259043	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259043	2	postgres-0	6m	211Mi
1777259044	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259044	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259044	2	postgres-0	6m	211Mi
1777259045	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259045	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259045	2	postgres-0	6m	211Mi
1777259046	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259046	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259046	2	postgres-0	6m	211Mi
1777259047	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259047	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259047	2	postgres-0	6m	211Mi
1777259048	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259048	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259048	2	postgres-0	6m	211Mi
1777259049	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259049	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259049	2	postgres-0	6m	211Mi
1777259050	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259050	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259050	2	postgres-0	6m	211Mi
1777259051	2	hermod-coordinator-55b4c8dc98-hpbhv	1045m	154Mi
1777259051	2	nanomq-6f9c64f546-w97qh	14m	1Mi
1777259051	2	postgres-0	6m	211Mi
1777259052	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259052	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259052	2	postgres-0	6m	211Mi
1777259053	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259053	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259053	2	postgres-0	6m	211Mi
1777259054	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259054	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259054	2	postgres-0	6m	211Mi
1777259055	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259055	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259055	2	postgres-0	6m	211Mi
1777259056	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259056	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259056	2	postgres-0	6m	211Mi
1777259057	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259057	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259057	2	postgres-0	6m	211Mi
1777259058	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259058	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259058	2	postgres-0	6m	211Mi
1777259059	2	hermod-coordinator-55b4c8dc98-hpbhv	428m	157Mi
1777259059	2	nanomq-6f9c64f546-w97qh	284m	2Mi
1777259059	2	postgres-0	6m	211Mi
