ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777259267	2.99	3.24	3.08	1771	6165	16	9745457000	1480340007
1777259278	2.61	3.15	3.05	1809	6128	16	9745513558	1480627765
1777259290	2.29	3.06	3.03	1832	6105	16	9746043528	1481913360
1777259301	2.23	3.02	3.01	1863	6074	16	9746686394	1483401041
1777259312	1.96	2.94	2.99	1879	6058	16	9748152918	1483920103
1777259324	2.45	3.01	3.01	1899	6038	16	9752147337	1484691258
1777259335	2.54	3.01	3.01	1924	6012	16	9756361684	1485470282
1777259347	2.23	2.92	2.98	1921	6015	16	9757292884	1485859573
1777259358	1.90	2.81	2.94	1915	6021	16	9757357439	1486140141
1777259369	2.25	2.85	2.95	1902	6035	16	9760871854	1486867142
1777259381	2.38	2.86	2.95	1905	6031	16	9764824544	1487636576
1777259392	2.68	2.91	2.97	1911	6026	16	9767891008	1488304127
1777259403	2.16	2.78	2.93	1927	6010	16	9767949470	1488557686
1777259415	1.98	2.72	2.91	1906	6031	16	9769294668	1489031687
1777259426	2.50	2.82	2.93	1906	6030	16	9773321272	1489804454
1777259437	2.50	2.81	2.93	1920	6016	16	9777287457	1490574570
1777259449	2.65	2.83	2.94	1895	6041	16	9778549440	1490975881
1777259460	2.24	2.74	2.90	1900	6037	16	9778613997	1491256521
1777259471	2.67	2.81	2.93	1936	6001	16	9781972592	1491975914
1777259483	3.26	2.92	2.96	1922	6015	16	9785949257	1492710741
1777259494	3.42	2.97	2.98	1912	6024	16	9789142451	1493390312
1777259506	2.89	2.87	2.94	1915	6021	16	9789199023	1493636629
1777259517	2.45	2.78	2.91	1944	5993	16	9790491950	1494108674
1777259528	2.82	2.84	2.93	1907	6029	16	9794478721	1494880318
1777259539	3.69	3.03	2.99	1941	5995	16	9798607686	1495657073
1777259551	3.12	2.93	2.96	1922	6015	16	9799798470	1496091452
