ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777259586	1	130912	8532296	20	359758	4489	0	4096
1777259597	1	181164	8606116	21	405726	335406	0	4096
1777259609	1	185384	8606284	20	427130	335406	0	4096
1777259621	1	248744	8607916	21	491367	335547	0	4096
1777259632	1	248184	8681736	22	565321	335556	0	4096
1777259643	1	238616	8681704	21	603000	335556	0	4096
1777259655	1	238640	8681724	22	603002	335588	0	4096
1777259666	1	240484	8903180	25	662814	335648	0	4096
1777259678	1	242908	8903184	25	733560	335648	0	4096
1777259689	1	238240	8903128	23	808008	335664	0	4096
1777259701	1	237772	8903108	22	810817	335664	0	4096
1777259712	1	241920	8894804	20	832795	335696	0	4096
1777259723	1	239624	8886540	20	904486	335712	0	4096
1777259735	1	243468	8886544	20	976159	335728	0	4096
1777259746	1	247960	8886568	21	1011144	335759	0	4096
1777259758	1	248460	8886544	20	1011145	335775	0	4096
1777259769	1	244296	9050808	27	1072883	335897	0	4096
1777259780	1	253108	9124624	28	1144602	335928	0	4096
1777259792	1	243812	9124624	28	1216324	335944	0	4096
1777259803	1	240296	9124604	27	1219100	335960	0	4096
1777259814	1	240880	9099740	23	1238399	336006	0	4096
1777259826	1	240908	9099728	23	1309227	336006	0	4096
1777259837	1	242064	9099736	23	1381854	336022	0	4096
1777259848	1	238436	9091404	20	1423243	336022	0	4096
1777259860	1	238452	9091432	21	1423244	336038	0	4096
