ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777259887	3.00	3.19	3.06	1815	6121	16	9904526372	1513971734
1777259899	2.90	3.16	3.05	1837	6099	16	9904587417	1514283747
1777259910	2.53	3.08	3.03	1827	6109	16	9905096213	1515524983
1777259922	2.22	2.99	3.00	1870	6066	16	9905760904	1517057640
1777259933	2.10	2.94	2.98	1857	6079	16	9907151337	1517574186
1777259945	2.70	3.04	3.01	1892	6044	16	9911365284	1518387383
1777259956	2.66	3.02	3.01	1910	6027	16	9915504229	1519163774
1777259968	2.25	2.92	2.98	1914	6022	16	9916366225	1519515953
1777259979	1.96	2.83	2.94	1909	6027	16	9916432778	1519804311
1777259990	2.21	2.85	2.95	1900	6036	16	9919990255	1520524122
1777260001	1.95	2.77	2.92	1900	6036	16	9923934583	1521292752
1777260013	2.05	2.76	2.92	1905	6032	16	9926958556	1521931440
1777260024	2.21	2.77	2.92	1930	6007	16	9927014974	1522177605
1777260036	2.19	2.75	2.91	1907	6029	16	9928646430	1522695428
1777260047	2.37	2.77	2.91	1919	6017	16	9932584891	1523462407
1777260058	2.80	2.83	2.93	1906	6030	16	9936527287	1524196022
1777260069	2.45	2.76	2.91	1905	6031	16	9937606762	1524590583
1777260081	2.16	2.68	2.88	1921	6016	16	9937694055	1524873582
1777260092	2.68	2.78	2.91	1924	6013	16	9941221466	1525599687
1777260104	2.65	2.77	2.90	1912	6024	16	9945218039	1526370197
1777260115	2.24	2.68	2.87	1913	6023	16	9948227983	1527041964
1777260126	1.97	2.61	2.85	1928	6008	16	9948284400	1527288065
1777260138	1.66	2.52	2.82	1927	6009	16	9949548776	1527758128
1777260149	2.02	2.56	2.82	1921	6015	16	9953527489	1528529070
1777260160	2.27	2.59	2.83	1936	6000	16	9957657543	1529304618
1777260172	1.92	2.50	2.80	1932	6005	16	9958873992	1529704411
