ts	pod	phase	restarts	ready	reason	last_termination
1777259888	hermod-coordinator-6cf648b7d6-bz9xj	Running	0	true	<none>	<none>
1777259888	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259888	postgres-0	Running	0	true	<none>	<none>
1777259899	hermod-coordinator-5ccf585d6d-smsx7	Running	0	false	<none>	<none>
1777259899	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259899	postgres-0	Running	0	true	<none>	<none>
1777259911	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259911	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259911	postgres-0	Running	0	true	<none>	<none>
1777259922	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259922	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259922	postgres-0	Running	0	true	<none>	<none>
1777259933	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259933	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259933	postgres-0	Running	0	true	<none>	<none>
1777259945	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259945	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259945	postgres-0	Running	0	true	<none>	<none>
1777259957	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259957	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259957	postgres-0	Running	0	true	<none>	<none>
1777259968	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259968	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259968	postgres-0	Running	0	true	<none>	<none>
1777259979	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259979	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259979	postgres-0	Running	0	true	<none>	<none>
1777259991	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777259991	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777259991	postgres-0	Running	0	true	<none>	<none>
1777260002	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777260002	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777260002	postgres-0	Running	0	true	<none>	<none>
1777260013	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777260013	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777260013	postgres-0	Running	0	true	<none>	<none>
1777260025	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777260025	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777260025	postgres-0	Running	0	true	<none>	<none>
1777260036	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777260036	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777260036	postgres-0	Running	0	true	<none>	<none>
1777260047	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
1777260047	nanomq-6bdfd9f8fd-2rwvg	Running	0	true	<none>	<none>
1777260047	postgres-0	Running	0	true	<none>	<none>
1777260059	hermod-coordinator-5ccf585d6d-smsx7	Running	0	true	<none>	<none>
