ts	repeat	pod	cpu	mem
1777259929	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259929	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259929	1	postgres-0	37m	320Mi
1777259930	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259930	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259930	1	postgres-0	37m	320Mi
1777259931	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259931	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259931	1	postgres-0	37m	320Mi
1777259932	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259932	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259932	1	postgres-0	37m	320Mi
1777259933	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259933	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259933	1	postgres-0	37m	320Mi
1777259934	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259934	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259934	1	postgres-0	37m	320Mi
1777259936	1	hermod-coordinator-5ccf585d6d-smsx7	774m	92Mi
1777259936	1	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259936	1	postgres-0	37m	320Mi
1777259937	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259937	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259937	1	postgres-0	74m	320Mi
1777259938	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259938	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259938	1	postgres-0	74m	320Mi
1777259939	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259939	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259939	1	postgres-0	74m	320Mi
1777259940	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259940	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259940	1	postgres-0	74m	320Mi
1777259941	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259941	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259941	1	postgres-0	74m	320Mi
1777259942	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259942	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259942	1	postgres-0	74m	320Mi
1777259943	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259943	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259943	1	postgres-0	74m	320Mi
1777259944	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259944	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259944	1	postgres-0	74m	320Mi
1777259945	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259945	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259945	1	postgres-0	74m	320Mi
1777259946	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259946	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259946	1	postgres-0	74m	320Mi
1777259947	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259947	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259947	1	postgres-0	74m	320Mi
1777259948	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259948	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259948	1	postgres-0	74m	320Mi
1777259949	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259949	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259949	1	postgres-0	74m	320Mi
1777259950	1	hermod-coordinator-5ccf585d6d-smsx7	135m	94Mi
1777259950	1	nanomq-6bdfd9f8fd-2rwvg	74m	1Mi
1777259950	1	postgres-0	74m	320Mi
1777259951	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259951	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259951	1	postgres-0	68m	325Mi
1777259952	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259952	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259952	1	postgres-0	68m	325Mi
1777259954	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259954	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259954	1	postgres-0	68m	325Mi
1777259955	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259955	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259955	1	postgres-0	68m	325Mi
1777259956	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259956	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259956	1	postgres-0	68m	325Mi
1777259957	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259957	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259957	1	postgres-0	68m	325Mi
1777259958	1	hermod-coordinator-5ccf585d6d-smsx7	866m	142Mi
1777259958	1	nanomq-6bdfd9f8fd-2rwvg	476m	1Mi
1777259958	1	postgres-0	68m	325Mi
1777259980	2	hermod-coordinator-5ccf585d6d-smsx7	774m	152Mi
1777259980	2	nanomq-6bdfd9f8fd-2rwvg	334m	1Mi
1777259980	2	postgres-0	151m	325Mi
1777259981	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259981	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259981	2	postgres-0	14m	325Mi
1777259982	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259982	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259982	2	postgres-0	14m	325Mi
1777259984	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259984	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259984	2	postgres-0	14m	325Mi
1777259985	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259985	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259985	2	postgres-0	14m	325Mi
1777259986	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259986	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259986	2	postgres-0	14m	325Mi
1777259987	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259987	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259987	2	postgres-0	14m	325Mi
1777259988	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259988	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259988	2	postgres-0	14m	325Mi
1777259989	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259989	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259989	2	postgres-0	14m	325Mi
1777259990	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259990	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259990	2	postgres-0	14m	325Mi
1777259991	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259991	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259991	2	postgres-0	14m	325Mi
1777259992	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259992	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259992	2	postgres-0	14m	325Mi
1777259993	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259993	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259993	2	postgres-0	14m	325Mi
1777259994	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259994	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259994	2	postgres-0	14m	325Mi
1777259995	2	hermod-coordinator-5ccf585d6d-smsx7	10m	152Mi
1777259995	2	nanomq-6bdfd9f8fd-2rwvg	1m	1Mi
1777259995	2	postgres-0	14m	325Mi
1777259996	2	hermod-coordinator-5ccf585d6d-smsx7	327m	150Mi
1777259996	2	nanomq-6bdfd9f8fd-2rwvg	327m	1Mi
1777259996	2	postgres-0	57m	326Mi
1777259997	2	hermod-coordinator-5ccf585d6d-smsx7	327m	150Mi
1777259997	2	nanomq-6bdfd9f8fd-2rwvg	327m	1Mi
1777259997	2	postgres-0	57m	326Mi
1777259998	2	hermod-coordinator-5ccf585d6d-smsx7	327m	150Mi
