ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777260822	2.21	2.43	2.62	1819	6118	16	10118104657	1563959265
1777260833	2.33	2.45	2.63	1866	6071	16	10119210459	1566425906
1777260844	2.10	2.39	2.61	1879	6057	16	10119745583	1566804940
1777260857	2.73	2.51	2.65	1940	5996	16	10127698173	1567675199
1777260868	3.31	2.64	2.69	1914	6022	16	10135470595	1568542042
1777260879	2.57	2.51	2.64	1936	6001	16	10139864523	1569172155
1777260891	2.18	2.43	2.61	1944	5992	16	10139921250	1569418363
1777260902	2.24	2.43	2.61	1943	5993	16	10143923723	1570037037
1777260913	3.33	2.67	2.69	1950	5986	16	10152202527	1570917864
1777260925	3.77	2.78	2.72	1945	5991	16	10160048569	1571786397
1777260937	3.42	2.74	2.71	1928	6009	16	10160569066	1572088755
1777260948	2.97	2.66	2.69	1927	6009	16	10161107873	1572426962
1777260959	3.40	2.78	2.73	1927	6010	16	10168877322	1573291473
1777260971	3.41	2.80	2.73	1930	6006	16	10176634496	1574155420
1777260982	3.48	2.84	2.75	1956	5981	16	10181215671	1574789018
1777260994	2.78	2.72	2.71	1932	6005	16	10181272189	1575035098
1777261005	2.50	2.66	2.69	1934	6002	16	10185314049	1575656395
1777261016	2.75	2.71	2.70	1922	6014	16	10193176448	1576524607
1777261028	2.77	2.71	2.71	1941	5995	16	10200972186	1577391797
1777261039	2.56	2.68	2.70	1952	5984	16	10201925401	1577708541
1777261050	2.17	2.59	2.67	1966	5970	16	10202477262	1578046555
1777261062	2.45	2.64	2.68	1928	6009	16	10210257561	1578916488
1777261074	3.38	2.83	2.75	1927	6009	16	10218127394	1579786569
1777261085	3.08	2.79	2.73	1960	5976	16	10222580209	1580383363
1777261096	2.61	2.70	2.70	1949	5987	16	10222636649	1580629492
