ts	repeat	pod	cpu	mem
1777260845	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260845	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260845	1	postgres-0	93m	319Mi
1777260846	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260846	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260846	1	postgres-0	93m	319Mi
1777260847	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260847	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260847	1	postgres-0	93m	319Mi
1777260848	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260848	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260848	1	postgres-0	93m	319Mi
1777260849	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260849	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260849	1	postgres-0	93m	319Mi
1777260850	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260850	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260850	1	postgres-0	93m	319Mi
1777260851	1	hermod-coordinator-6f59447cf4-jwc9t	911m	70Mi
1777260851	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260851	1	postgres-0	93m	319Mi
1777260852	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260852	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260852	1	postgres-0	31m	320Mi
1777260853	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260853	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260853	1	postgres-0	31m	320Mi
1777260854	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260854	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260854	1	postgres-0	31m	320Mi
1777260855	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260855	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260855	1	postgres-0	31m	320Mi
1777260856	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260856	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260856	1	postgres-0	31m	320Mi
1777260857	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260857	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260857	1	postgres-0	31m	320Mi
1777260858	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260858	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260858	1	postgres-0	31m	320Mi
1777260859	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260859	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260859	1	postgres-0	31m	320Mi
1777260861	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260861	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260861	1	postgres-0	31m	320Mi
1777260862	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260862	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260862	1	postgres-0	31m	320Mi
1777260863	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
1777260863	1	nanomq-86d6c4c564-g8kr4	1m	1Mi
1777260863	1	postgres-0	31m	320Mi
1777260864	1	hermod-coordinator-6f59447cf4-jwc9t	684m	141Mi
