ts	pod	phase	restarts	ready	reason	last_termination
1777261124	hermod-coordinator-6774d9d49d-vlpqc	Running	0	true	<none>	<none>
1777261124	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261124	postgres-0	Running	0	true	<none>	<none>
1777261135	hermod-coordinator-6779fc4454-plk8h	Running	0	false	<none>	<none>
1777261135	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261135	postgres-0	Running	0	true	<none>	<none>
1777261146	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261146	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261146	postgres-0	Running	0	true	<none>	<none>
1777261157	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261157	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261157	postgres-0	Running	0	true	<none>	<none>
1777261169	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261169	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261169	postgres-0	Running	0	true	<none>	<none>
1777261180	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261180	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261180	postgres-0	Running	0	true	<none>	<none>
1777261192	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261192	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261192	postgres-0	Running	0	true	<none>	<none>
1777261203	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261203	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261203	postgres-0	Running	0	true	<none>	<none>
1777261214	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261214	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261214	postgres-0	Running	0	true	<none>	<none>
1777261226	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261226	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261226	postgres-0	Running	0	true	<none>	<none>
1777261237	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261237	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261237	postgres-0	Running	0	true	<none>	<none>
1777261248	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261248	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261248	postgres-0	Running	0	true	<none>	<none>
1777261260	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261260	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261260	postgres-0	Running	0	true	<none>	<none>
1777261271	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261271	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261271	postgres-0	Running	0	true	<none>	<none>
1777261283	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261283	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261283	postgres-0	Running	0	true	<none>	<none>
1777261294	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261294	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261294	postgres-0	Running	0	true	<none>	<none>
1777261305	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261305	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261305	postgres-0	Running	0	true	<none>	<none>
1777261316	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261316	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261316	postgres-0	Running	0	true	<none>	<none>
1777261328	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261328	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261328	postgres-0	Running	0	true	<none>	<none>
1777261339	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261339	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261339	postgres-0	Running	0	true	<none>	<none>
1777261351	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261351	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261351	postgres-0	Running	0	true	<none>	<none>
1777261362	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261362	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261362	postgres-0	Running	0	true	<none>	<none>
1777261373	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261373	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261373	postgres-0	Running	0	true	<none>	<none>
1777261384	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261384	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261384	postgres-0	Running	0	true	<none>	<none>
1777261396	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261396	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261396	postgres-0	Running	0	true	<none>	<none>
1777261408	hermod-coordinator-6779fc4454-plk8h	Running	0	true	<none>	<none>
1777261408	nanomq-69c68bbbd4-8b79w	Running	0	true	<none>	<none>
1777261408	postgres-0	Running	0	true	<none>	<none>
