ts	repeat	pod	cpu	mem
1777261164	1	hermod-coordinator-6779fc4454-plk8h	160m	45Mi
1777261164	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261164	1	postgres-0	23m	319Mi
1777261165	1	hermod-coordinator-6779fc4454-plk8h	160m	45Mi
1777261165	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261165	1	postgres-0	23m	319Mi
1777261166	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261166	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261166	1	postgres-0	102m	320Mi
1777261167	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261167	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261167	1	postgres-0	102m	320Mi
1777261168	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261168	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261168	1	postgres-0	102m	320Mi
1777261170	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261170	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261170	1	postgres-0	102m	320Mi
1777261171	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261171	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261171	1	postgres-0	102m	320Mi
1777261172	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261172	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261172	1	postgres-0	102m	320Mi
1777261173	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261173	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261173	1	postgres-0	102m	320Mi
1777261174	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261174	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261174	1	postgres-0	102m	320Mi
1777261175	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261175	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261175	1	postgres-0	102m	320Mi
1777261176	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261176	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261176	1	postgres-0	102m	320Mi
1777261177	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261177	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261177	1	postgres-0	102m	320Mi
1777261178	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261178	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261178	1	postgres-0	102m	320Mi
1777261179	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261179	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
1777261179	1	postgres-0	102m	320Mi
1777261180	1	hermod-coordinator-6779fc4454-plk8h	994m	93Mi
1777261180	1	nanomq-69c68bbbd4-8b79w	1m	1Mi
