ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777261435	2.01	2.48	2.61	1823	6113	16	10277197032	1597562463
1777261447	2.15	2.50	2.62	1868	6068	16	10278299529	1600024518
1777261458	1.98	2.44	2.60	1882	6054	16	10278548844	1600394780
1777261470	2.98	2.64	2.66	1942	5995	16	10286422456	1601261691
1777261482	3.29	2.72	2.68	1984	5952	16	10294526541	1602136208
1777261493	2.79	2.63	2.66	1952	5985	16	10298942838	1602730519
1777261504	2.24	2.51	2.62	1953	5983	16	10298999202	1602976582
1777261515	2.04	2.46	2.60	1956	5980	16	10303261427	1603602740
1777261527	3.05	2.66	2.66	1946	5991	16	10311492460	1604517096
1777261539	3.47	2.78	2.70	1942	5994	16	10319396328	1605386577
1777261550	2.93	2.69	2.67	1961	5975	16	10319651054	1605680701
1777261562	2.48	2.60	2.64	1924	6013	16	10320130056	1606016988
1777261573	3.49	2.81	2.71	1925	6011	16	10327964936	1606883757
1777261585	4.85	3.13	2.82	1929	6007	16	10335777465	1607749056
1777261596	4.99	3.22	2.85	1934	6003	16	10340302991	1608372223
1777261607	4.31	3.14	2.83	1938	5999	16	10340359669	1608618441
1777261618	4.35	3.20	2.85	1944	5992	16	10344632862	1609244638
1777261630	5.14	3.40	2.92	1920	6017	16	10352457728	1610113281
1777261641	4.73	3.37	2.92	1944	5993	16	10360324978	1610982908
1777261653	4.24	3.31	2.90	1938	5998	16	10361017337	1611325352
1777261664	3.38	3.17	2.86	1952	5984	16	10361294925	1611654903
1777261676	3.50	3.19	2.87	1932	6004	16	10369129597	1612521617
1777261687	5.61	3.65	3.03	1930	6006	16	10376889096	1613351369
1777261699	5.44	3.72	3.06	1932	6004	16	10381661307	1613992573
1777261710	4.60	3.59	3.02	1945	5991	16	10381717515	1614238442
