ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777262052	2.91	3.60	3.19	1829	6107	16	10436282378	1631235000
1777262064	2.71	3.52	3.17	1859	6077	16	10437371700	1633672141
1777262075	2.29	3.40	3.14	1861	6075	16	10437452800	1634036644
1777262086	3.88	3.70	3.24	1927	6009	16	10445319177	1634866084
1777262098	4.68	3.88	3.30	1972	5964	16	10453173631	1635730946
1777262109	5.85	4.19	3.42	1963	5973	16	10458006990	1636370735
1777262121	4.95	4.05	3.38	1972	5965	16	10458063666	1636616880
1777262132	4.58	4.00	3.37	1947	5989	16	10462473024	1637280444
1777262144	5.35	4.20	3.44	1975	5962	16	10470392454	1638111223
1777262156	6.08	4.39	3.51	1976	5961	16	10478366362	1638978757
1777262168	5.51	4.33	3.50	1964	5973	16	10478700064	1639275301
1777262180	5.24	4.31	3.51	1964	5973	16	10480417004	1639718328
1777262191	5.49	4.40	3.55	1956	5980	16	10488266619	1640583211
1777262203	5.05	4.34	3.54	1966	5970	16	10496294127	1641451620
1777262215	5.93	4.58	3.63	1961	5975	16	10499344812	1641969384
1777262226	5.33	4.50	3.61	1973	5963	16	10499401174	1642215468
1777262237	6.47	4.76	3.71	1951	5985	16	10504951863	1642946016
1777262249	7.87	5.15	3.85	1971	5965	16	10512929167	1643811174
1777262260	8.03	5.28	3.91	1954	5982	16	10519973504	1644648761
1777262272	7.18	5.19	3.89	1971	5965	16	10520032121	1644902429
1777262283	7.46	5.33	3.96	1966	5970	16	10521856109	1645347733
1777262295	8.60	5.65	4.08	1966	5970	17	10530007057	1646218284
1777262307	9.12	5.86	4.16	1972	5965	17	10538077028	1647087101
1777262319	8.91	5.99	4.24	1987	5949	17	10540658685	1647555566
