ts	repeat	pod	cpu	mem
1777262075	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262075	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262075	1	postgres-0	32m	325Mi
1777262076	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262076	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262076	1	postgres-0	32m	325Mi
1777262077	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262077	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262077	1	postgres-0	32m	325Mi
1777262079	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262079	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262079	1	postgres-0	32m	325Mi
1777262080	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262080	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262080	1	postgres-0	32m	325Mi
1777262081	1	hermod-coordinator-779cc5cddc-v9d4t	944m	94Mi
1777262081	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262081	1	postgres-0	32m	325Mi
1777262082	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262082	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262082	1	postgres-0	66m	325Mi
1777262083	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262083	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262083	1	postgres-0	66m	325Mi
1777262084	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262084	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262084	1	postgres-0	66m	325Mi
1777262085	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262085	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262085	1	postgres-0	66m	325Mi
1777262086	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262086	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262086	1	postgres-0	66m	325Mi
1777262087	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262087	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262087	1	postgres-0	66m	325Mi
1777262088	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262088	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262088	1	postgres-0	66m	325Mi
1777262089	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262089	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262089	1	postgres-0	66m	325Mi
1777262090	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262090	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262090	1	postgres-0	66m	325Mi
1777262091	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262091	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262091	1	postgres-0	66m	325Mi
1777262092	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262092	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262092	1	postgres-0	66m	325Mi
1777262093	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262093	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262093	1	postgres-0	66m	325Mi
1777262094	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262094	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262094	1	postgres-0	66m	325Mi
1777262095	1	hermod-coordinator-779cc5cddc-v9d4t	355m	123Mi
1777262095	1	nanomq-d89f8b9c-vg9fv	1m	1Mi
1777262095	1	postgres-0	66m	325Mi
1777262097	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262097	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262097	1	postgres-0	162m	330Mi
1777262098	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262098	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262098	1	postgres-0	162m	330Mi
1777262099	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262099	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262099	1	postgres-0	162m	330Mi
1777262100	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262100	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262100	1	postgres-0	162m	330Mi
1777262101	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262101	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262101	1	postgres-0	162m	330Mi
1777262102	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262102	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262102	1	postgres-0	162m	330Mi
1777262103	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262103	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262103	1	postgres-0	162m	330Mi
1777262104	1	hermod-coordinator-779cc5cddc-v9d4t	1460m	167Mi
1777262104	1	nanomq-d89f8b9c-vg9fv	224m	1Mi
1777262104	1	postgres-0	162m	330Mi
1777262126	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262126	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262126	2	postgres-0	7m	335Mi
1777262128	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262128	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262128	2	postgres-0	7m	335Mi
1777262129	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262129	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262129	2	postgres-0	7m	335Mi
1777262130	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262130	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262130	2	postgres-0	7m	335Mi
1777262131	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262131	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262131	2	postgres-0	7m	335Mi
1777262132	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262132	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262132	2	postgres-0	7m	335Mi
1777262133	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262133	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262133	2	postgres-0	7m	335Mi
1777262134	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262134	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262134	2	postgres-0	7m	335Mi
1777262135	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262135	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262135	2	postgres-0	7m	335Mi
1777262136	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262136	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262136	2	postgres-0	7m	335Mi
1777262137	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262137	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262137	2	postgres-0	7m	335Mi
1777262138	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262138	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262138	2	postgres-0	7m	335Mi
1777262139	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262139	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262139	2	postgres-0	7m	335Mi
1777262140	2	hermod-coordinator-779cc5cddc-v9d4t	10m	182Mi
1777262140	2	nanomq-d89f8b9c-vg9fv	169m	1Mi
1777262140	2	postgres-0	7m	335Mi
1777262141	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262141	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262141	2	postgres-0	269m	336Mi
1777262142	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262142	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262142	2	postgres-0	269m	336Mi
1777262143	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262143	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262143	2	postgres-0	269m	336Mi
1777262145	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262145	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262145	2	postgres-0	269m	336Mi
1777262146	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262146	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262146	2	postgres-0	269m	336Mi
1777262147	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262147	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262147	2	postgres-0	269m	336Mi
1777262148	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262148	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262148	2	postgres-0	269m	336Mi
1777262149	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262149	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262149	2	postgres-0	269m	336Mi
1777262150	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262150	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262150	2	postgres-0	269m	336Mi
1777262151	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262151	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262151	2	postgres-0	269m	336Mi
1777262152	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262152	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262152	2	postgres-0	269m	336Mi
1777262153	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262153	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262153	2	postgres-0	269m	336Mi
1777262154	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262154	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262154	2	postgres-0	269m	336Mi
1777262155	2	hermod-coordinator-779cc5cddc-v9d4t	674m	164Mi
1777262155	2	nanomq-d89f8b9c-vg9fv	267m	2Mi
1777262155	2	postgres-0	269m	336Mi
1777262178	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262178	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262178	3	postgres-0	327m	336Mi
1777262179	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262179	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262179	3	postgres-0	327m	336Mi
1777262180	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262180	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262180	3	postgres-0	327m	336Mi
1777262181	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262181	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262181	3	postgres-0	327m	336Mi
1777262182	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262182	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262182	3	postgres-0	327m	336Mi
1777262183	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262183	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262183	3	postgres-0	327m	336Mi
1777262184	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262184	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262184	3	postgres-0	327m	336Mi
1777262185	3	hermod-coordinator-779cc5cddc-v9d4t	1392m	167Mi
1777262185	3	nanomq-d89f8b9c-vg9fv	219m	2Mi
1777262185	3	postgres-0	327m	336Mi
1777262186	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262186	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262186	3	postgres-0	156m	337Mi
1777262187	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262187	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262187	3	postgres-0	156m	337Mi
1777262188	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262188	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262188	3	postgres-0	156m	337Mi
1777262189	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262189	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262189	3	postgres-0	156m	337Mi
1777262190	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262190	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262190	3	postgres-0	156m	337Mi
1777262191	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262191	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262191	3	postgres-0	156m	337Mi
1777262193	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262193	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262193	3	postgres-0	156m	337Mi
1777262194	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262194	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262194	3	postgres-0	156m	337Mi
1777262195	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262195	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262195	3	postgres-0	156m	337Mi
1777262196	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262196	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262196	3	postgres-0	156m	337Mi
1777262197	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262197	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262197	3	postgres-0	156m	337Mi
1777262198	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262198	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262198	3	postgres-0	156m	337Mi
1777262199	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262199	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262199	3	postgres-0	156m	337Mi
1777262200	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262200	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262200	3	postgres-0	156m	337Mi
1777262201	3	hermod-coordinator-779cc5cddc-v9d4t	288m	168Mi
1777262201	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262201	3	postgres-0	156m	337Mi
1777262202	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262202	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262202	3	postgres-0	251m	341Mi
1777262203	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262203	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262203	3	postgres-0	251m	341Mi
1777262204	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262204	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262204	3	postgres-0	251m	341Mi
1777262205	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262205	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262205	3	postgres-0	251m	341Mi
1777262206	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262206	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262206	3	postgres-0	251m	341Mi
1777262207	3	hermod-coordinator-779cc5cddc-v9d4t	1380m	189Mi
1777262207	3	nanomq-d89f8b9c-vg9fv	249m	2Mi
1777262207	3	postgres-0	251m	341Mi
1777262230	4	hermod-coordinator-779cc5cddc-v9d4t	1125m	179Mi
