ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777262348	6.93	5.76	4.21	1808	6128	16	10540775725	1648161120
1777262359	6.50	5.72	4.22	1835	6101	16	10540832961	1648455836
1777262370	6.20	5.68	4.22	1831	6105	16	10541241708	1649482630
1777262381	5.86	5.63	4.22	1876	6061	16	10542007346	1651231825
1777262393	5.65	5.59	4.22	1892	6045	16	10543175047	1651739735
1777262404	7.90	6.10	4.41	1923	6013	16	10547202349	1652476109
1777262416	8.31	6.24	4.48	1938	5999	16	10551284520	1653248751
1777262427	7.92	6.23	4.50	1934	6002	16	10552609819	1653686744
1777262439	6.46	5.99	4.44	1934	6002	16	10552674314	1653967062
1777262450	7.44	6.22	4.54	1923	6013	16	10555937030	1654648954
1777262461	8.43	6.48	4.64	1920	6017	16	10559946021	1655419457
1777262473	8.74	6.61	4.70	1926	6011	16	10563200012	1656100294
1777262485	7.01	6.34	4.64	1918	6018	16	10563256629	1656346229
1777262496	5.93	6.13	4.59	1913	6023	16	10564818276	1656885086
1777262508	6.04	6.14	4.61	1943	5993	16	10568955842	1657659282
1777262519	7.54	6.48	4.75	1942	5995	16	10572950420	1658427698
1777262531	6.38	6.26	4.69	1942	5995	16	10573850787	1658780804
1777262542	5.47	6.07	4.65	1939	5997	16	10573916189	1659061576
1777262553	5.75	6.10	4.67	1945	5992	16	10577488894	1659787341
1777262564	6.91	6.36	4.78	1937	6000	16	10581482868	1660556660
1777262576	5.85	6.15	4.73	1953	5983	16	10584441898	1661192500
1777262587	5.18	5.99	4.69	1938	5998	16	10584498565	1661438437
1777262598	4.53	5.83	4.65	1941	5995	16	10586043492	1661952985
1777262610	4.99	5.88	4.69	1936	6000	16	10590069441	1662700053
1777262621	4.95	5.84	4.69	1930	6006	16	10594141882	1663472314
1777262633	4.71	5.76	4.68	1940	5997	16	10595082341	1663850754
