ts	repeat	pod	cpu	mem
1777262390	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262390	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262390	1	postgres-0	91m	324Mi
1777262391	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262391	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262391	1	postgres-0	91m	324Mi
1777262392	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262392	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262392	1	postgres-0	91m	324Mi
1777262393	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262393	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262393	1	postgres-0	91m	324Mi
1777262394	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262394	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262394	1	postgres-0	91m	324Mi
1777262395	1	hermod-coordinator-57454bc64-q9d9b	963m	81Mi
1777262395	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262395	1	postgres-0	91m	324Mi
1777262396	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262396	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262396	1	postgres-0	73m	328Mi
1777262397	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262397	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262397	1	postgres-0	73m	328Mi
1777262398	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262398	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262398	1	postgres-0	73m	328Mi
1777262399	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262399	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262399	1	postgres-0	73m	328Mi
1777262400	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262400	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262400	1	postgres-0	73m	328Mi
1777262401	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262401	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262401	1	postgres-0	73m	328Mi
1777262403	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262403	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262403	1	postgres-0	73m	328Mi
1777262404	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262404	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262404	1	postgres-0	73m	328Mi
1777262405	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262405	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262405	1	postgres-0	73m	328Mi
1777262406	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262406	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262406	1	postgres-0	73m	328Mi
1777262407	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262407	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262407	1	postgres-0	73m	328Mi
1777262408	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262408	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262408	1	postgres-0	73m	328Mi
1777262409	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262409	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262409	1	postgres-0	73m	328Mi
1777262410	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262410	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262410	1	postgres-0	73m	328Mi
1777262411	1	hermod-coordinator-57454bc64-q9d9b	542m	97Mi
1777262411	1	nanomq-6c7cc6496c-nc5sk	1m	1Mi
1777262411	1	postgres-0	73m	328Mi
1777262412	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262412	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262412	1	postgres-0	255m	329Mi
1777262413	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262413	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262413	1	postgres-0	255m	329Mi
1777262414	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262414	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262414	1	postgres-0	255m	329Mi
1777262415	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262415	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262415	1	postgres-0	255m	329Mi
1777262416	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262416	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262416	1	postgres-0	255m	329Mi
1777262417	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262417	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262417	1	postgres-0	255m	329Mi
1777262418	1	hermod-coordinator-57454bc64-q9d9b	938m	147Mi
1777262418	1	nanomq-6c7cc6496c-nc5sk	340m	1Mi
1777262418	1	postgres-0	255m	329Mi
1777262441	2	hermod-coordinator-57454bc64-q9d9b	1082m	157Mi
1777262441	2	nanomq-6c7cc6496c-nc5sk	468m	1Mi
1777262441	2	postgres-0	250m	332Mi
1777262442	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262442	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262442	2	postgres-0	8m	332Mi
1777262443	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262443	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262443	2	postgres-0	8m	332Mi
1777262444	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262444	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262444	2	postgres-0	8m	332Mi
1777262445	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262445	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262445	2	postgres-0	8m	332Mi
1777262446	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262446	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262446	2	postgres-0	8m	332Mi
1777262447	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262447	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262447	2	postgres-0	8m	332Mi
1777262448	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262448	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262448	2	postgres-0	8m	332Mi
1777262449	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262449	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262449	2	postgres-0	8m	332Mi
1777262450	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262450	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262450	2	postgres-0	8m	332Mi
1777262452	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262452	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262452	2	postgres-0	8m	332Mi
1777262453	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262453	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262453	2	postgres-0	8m	332Mi
1777262454	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262454	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262454	2	postgres-0	8m	332Mi
1777262455	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262455	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262455	2	postgres-0	8m	332Mi
1777262456	2	hermod-coordinator-57454bc64-q9d9b	210m	153Mi
1777262456	2	nanomq-6c7cc6496c-nc5sk	97m	1Mi
1777262456	2	postgres-0	8m	332Mi
1777262457	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262457	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262457	2	postgres-0	126m	333Mi
1777262458	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262458	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262458	2	postgres-0	126m	333Mi
1777262459	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262459	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262459	2	postgres-0	126m	333Mi
1777262460	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262460	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262460	2	postgres-0	126m	333Mi
1777262461	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262461	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262461	2	postgres-0	126m	333Mi
1777262462	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262462	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262462	2	postgres-0	126m	333Mi
1777262463	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262463	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262463	2	postgres-0	126m	333Mi
1777262464	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262464	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262464	2	postgres-0	126m	333Mi
1777262465	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262465	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262465	2	postgres-0	126m	333Mi
1777262466	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262466	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262466	2	postgres-0	126m	333Mi
1777262467	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262467	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262467	2	postgres-0	126m	333Mi
1777262469	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262469	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262469	2	postgres-0	126m	333Mi
1777262470	2	hermod-coordinator-57454bc64-q9d9b	677m	150Mi
1777262470	2	nanomq-6c7cc6496c-nc5sk	294m	2Mi
1777262470	2	postgres-0	126m	333Mi
1777262492	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262492	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262492	3	postgres-0	106m	334Mi
1777262493	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262493	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262493	3	postgres-0	106m	334Mi
1777262494	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262494	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262494	3	postgres-0	106m	334Mi
1777262495	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262495	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262495	3	postgres-0	106m	334Mi
1777262496	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262496	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262496	3	postgres-0	106m	334Mi
1777262497	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262497	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262497	3	postgres-0	106m	334Mi
1777262498	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262498	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262498	3	postgres-0	106m	334Mi
1777262500	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262500	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262500	3	postgres-0	106m	334Mi
1777262501	3	hermod-coordinator-57454bc64-q9d9b	738m	147Mi
1777262501	3	nanomq-6c7cc6496c-nc5sk	134m	1Mi
1777262501	3	postgres-0	106m	334Mi
1777262502	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262502	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262502	3	postgres-0	65m	334Mi
1777262503	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262503	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262503	3	postgres-0	65m	334Mi
1777262504	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262504	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262504	3	postgres-0	65m	334Mi
1777262505	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262505	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262505	3	postgres-0	65m	334Mi
1777262506	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262506	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262506	3	postgres-0	65m	334Mi
1777262507	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262507	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262507	3	postgres-0	65m	334Mi
1777262508	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262508	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262508	3	postgres-0	65m	334Mi
1777262509	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262509	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262509	3	postgres-0	65m	334Mi
1777262510	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262510	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262510	3	postgres-0	65m	334Mi
1777262511	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262511	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262511	3	postgres-0	65m	334Mi
1777262512	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262512	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262512	3	postgres-0	65m	334Mi
1777262513	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262513	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262513	3	postgres-0	65m	334Mi
1777262514	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262514	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262514	3	postgres-0	65m	334Mi
1777262515	3	hermod-coordinator-57454bc64-q9d9b	62m	149Mi
1777262515	3	nanomq-6c7cc6496c-nc5sk	38m	1Mi
1777262515	3	postgres-0	65m	334Mi
1777262516	3	hermod-coordinator-57454bc64-q9d9b	1130m	153Mi
1777262516	3	nanomq-6c7cc6496c-nc5sk	478m	2Mi
1777262516	3	postgres-0	209m	335Mi
1777262517	3	hermod-coordinator-57454bc64-q9d9b	1130m	153Mi
1777262517	3	nanomq-6c7cc6496c-nc5sk	478m	2Mi
1777262517	3	postgres-0	209m	335Mi
1777262519	3	hermod-coordinator-57454bc64-q9d9b	1130m	153Mi
1777262519	3	nanomq-6c7cc6496c-nc5sk	478m	2Mi
1777262519	3	postgres-0	209m	335Mi
1777262520	3	hermod-coordinator-57454bc64-q9d9b	1130m	153Mi
1777262520	3	nanomq-6c7cc6496c-nc5sk	478m	2Mi
1777262520	3	postgres-0	209m	335Mi
1777262521	3	hermod-coordinator-57454bc64-q9d9b	1130m	153Mi
1777262521	3	nanomq-6c7cc6496c-nc5sk	478m	2Mi
1777262521	3	postgres-0	209m	335Mi
1777262543	4	hermod-coordinator-57454bc64-q9d9b	649m	158Mi
1777262543	4	nanomq-6c7cc6496c-nc5sk	482m	2Mi
1777262543	4	postgres-0	199m	336Mi
1777262544	4	hermod-coordinator-57454bc64-q9d9b	649m	158Mi
1777262544	4	nanomq-6c7cc6496c-nc5sk	482m	2Mi
1777262544	4	postgres-0	199m	336Mi
1777262545	4	hermod-coordinator-57454bc64-q9d9b	649m	158Mi
1777262545	4	nanomq-6c7cc6496c-nc5sk	482m	2Mi
1777262545	4	postgres-0	199m	336Mi
1777262546	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262546	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262546	4	postgres-0	14m	335Mi
1777262548	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262548	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262548	4	postgres-0	14m	335Mi
1777262549	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262549	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262549	4	postgres-0	14m	335Mi
1777262550	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262550	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262550	4	postgres-0	14m	335Mi
1777262551	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262551	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262551	4	postgres-0	14m	335Mi
1777262552	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262552	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262552	4	postgres-0	14m	335Mi
1777262553	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262553	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262553	4	postgres-0	14m	335Mi
1777262554	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262554	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262554	4	postgres-0	14m	335Mi
1777262555	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262555	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262555	4	postgres-0	14m	335Mi
1777262556	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262556	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262556	4	postgres-0	14m	335Mi
1777262557	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262557	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262557	4	postgres-0	14m	335Mi
1777262558	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262558	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262558	4	postgres-0	14m	335Mi
1777262559	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262559	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262559	4	postgres-0	14m	335Mi
1777262560	4	hermod-coordinator-57454bc64-q9d9b	9m	158Mi
1777262560	4	nanomq-6c7cc6496c-nc5sk	127m	1Mi
1777262560	4	postgres-0	14m	335Mi
1777262561	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262561	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262561	4	postgres-0	122m	336Mi
1777262562	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262562	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262562	4	postgres-0	122m	336Mi
1777262563	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262563	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262563	4	postgres-0	122m	336Mi
1777262564	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262564	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262564	4	postgres-0	122m	336Mi
1777262566	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262566	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262566	4	postgres-0	122m	336Mi
1777262567	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262567	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262567	4	postgres-0	122m	336Mi
1777262568	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262568	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262568	4	postgres-0	122m	336Mi
1777262569	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262569	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262569	4	postgres-0	122m	336Mi
1777262570	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262570	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262570	4	postgres-0	122m	336Mi
1777262571	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262571	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262571	4	postgres-0	122m	336Mi
1777262572	4	hermod-coordinator-57454bc64-q9d9b	986m	164Mi
1777262572	4	nanomq-6c7cc6496c-nc5sk	232m	2Mi
1777262572	4	postgres-0	122m	336Mi
1777262594	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262594	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262594	5	postgres-0	77m	337Mi
1777262595	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262595	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262595	5	postgres-0	77m	337Mi
1777262597	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262597	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262597	5	postgres-0	77m	337Mi
1777262598	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262598	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262598	5	postgres-0	77m	337Mi
1777262599	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262599	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262599	5	postgres-0	77m	337Mi
1777262600	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262600	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262600	5	postgres-0	77m	337Mi
1777262601	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262601	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262601	5	postgres-0	77m	337Mi
1777262602	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
1777262602	5	nanomq-6c7cc6496c-nc5sk	114m	1Mi
1777262602	5	postgres-0	77m	337Mi
1777262603	5	hermod-coordinator-57454bc64-q9d9b	84m	160Mi
