ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777262964	1	128080	8532300	20	360717	6116	0	4096
1777262976	1	126448	8384672	18	359530	4466	0	4096
1777262988	1	161540	8532312	20	381463	174430	0	4096
1777262999	1	180660	8606120	21	405622	335413	0	4096
1777263010	1	213412	8606312	21	432776	335413	0	4096
1777263022	1	229316	8681724	22	509756	335422	0	4096
1777263033	1	237200	8681724	22	566179	335422	0	4096
1777263045	1	230488	8681708	21	569869	335422	0	4096
1777263056	1	230496	8681656	19	569870	335438	0	4096
1777263067	1	242176	8681652	19	623048	335438	0	4096
1777263078	1	241716	8681656	19	695410	335438	0	4096
1777263090	1	239832	8681680	20	727568	335453	0	4096
1777263102	1	240040	8681656	19	727600	335453	0	4096
1777263114	1	240964	8681708	21	771566	335484	0	4096
1777263125	1	242300	8681700	21	826613	335484	0	4096
1777263136	1	242468	8681708	21	879798	335484	0	4096
1777263148	1	242480	8681680	20	881643	335500	0	4096
1777263159	1	242484	8681632	18	881644	335516	0	4096
1777263170	1	245884	8681680	20	934940	335562	0	4096
1777263182	1	243636	8681704	21	1009188	335594	0	4096
1777263193	1	253516	8681680	20	1037658	335594	0	4096
1777263205	1	254068	8681680	20	1037660	335626	0	4096
1777263216	1	254776	8829356	24	1062563	335702	0	4096
1777263227	1	241056	8903176	25	1140519	335733	0	4096
1777263238	1	238168	8903180	25	1193773	335749	0	4096
1777263250	1	241800	8903080	21	1197467	335749	0	4096
