ts	repeat	pod	cpu	mem
1777263006	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263006	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263006	1	postgres-0	77m	325Mi
1777263007	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263007	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263007	1	postgres-0	77m	325Mi
1777263008	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263008	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263008	1	postgres-0	77m	325Mi
1777263009	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263009	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263009	1	postgres-0	77m	325Mi
1777263010	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263010	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263010	1	postgres-0	77m	325Mi
1777263011	1	hermod-coordinator-6984c5dd95-ztv59	769m	95Mi
1777263011	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263011	1	postgres-0	77m	325Mi
1777263012	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263012	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263012	1	postgres-0	35m	327Mi
1777263013	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263013	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263013	1	postgres-0	35m	327Mi
1777263014	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263014	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263014	1	postgres-0	35m	327Mi
1777263015	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263015	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263015	1	postgres-0	35m	327Mi
1777263016	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263016	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263016	1	postgres-0	35m	327Mi
1777263017	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263017	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263017	1	postgres-0	35m	327Mi
1777263018	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263018	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263018	1	postgres-0	35m	327Mi
1777263019	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263019	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263019	1	postgres-0	35m	327Mi
1777263021	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263021	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263021	1	postgres-0	35m	327Mi
1777263022	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263022	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263022	1	postgres-0	35m	327Mi
1777263023	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263023	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263023	1	postgres-0	35m	327Mi
1777263024	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263024	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263024	1	postgres-0	35m	327Mi
1777263025	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263025	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263025	1	postgres-0	35m	327Mi
1777263026	1	hermod-coordinator-6984c5dd95-ztv59	139m	99Mi
1777263026	1	nanomq-6b6d67d97c-zq27p	1m	1Mi
1777263026	1	postgres-0	35m	327Mi
1777263027	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263027	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263027	1	postgres-0	200m	330Mi
1777263028	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263028	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263028	1	postgres-0	200m	330Mi
1777263029	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263029	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263029	1	postgres-0	200m	330Mi
1777263030	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263030	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263030	1	postgres-0	200m	330Mi
1777263031	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263031	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263031	1	postgres-0	200m	330Mi
1777263032	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263032	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263032	1	postgres-0	200m	330Mi
1777263033	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263033	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263033	1	postgres-0	200m	330Mi
1777263034	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263034	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263034	1	postgres-0	200m	330Mi
1777263035	1	hermod-coordinator-6984c5dd95-ztv59	1129m	142Mi
1777263035	1	nanomq-6b6d67d97c-zq27p	440m	1Mi
1777263035	1	postgres-0	200m	330Mi
1777263057	2	hermod-coordinator-6984c5dd95-ztv59	69m	143Mi
1777263057	2	nanomq-6b6d67d97c-zq27p	301m	1Mi
1777263057	2	postgres-0	13m	336Mi
1777263059	2	hermod-coordinator-6984c5dd95-ztv59	69m	143Mi
1777263059	2	nanomq-6b6d67d97c-zq27p	301m	1Mi
1777263059	2	postgres-0	13m	336Mi
1777263060	2	hermod-coordinator-6984c5dd95-ztv59	69m	143Mi
1777263060	2	nanomq-6b6d67d97c-zq27p	301m	1Mi
1777263060	2	postgres-0	13m	336Mi
1777263061	2	hermod-coordinator-6984c5dd95-ztv59	69m	143Mi
1777263061	2	nanomq-6b6d67d97c-zq27p	301m	1Mi
1777263061	2	postgres-0	13m	336Mi
1777263062	2	hermod-coordinator-6984c5dd95-ztv59	69m	143Mi
