ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777263278	1.59	3.44	4.23	1803	6133	16	10754064386	1697816531
1777263289	1.61	3.35	4.19	1872	6065	16	10755173231	1700284666
1777263301	1.44	3.26	4.15	1862	6074	16	10755249242	1700615187
1777263312	1.29	3.17	4.11	1978	5958	16	10763188814	1701481393
1777263324	2.00	3.23	4.11	1944	5992	16	10771003275	1702344840
1777263335	2.30	3.25	4.11	1945	5992	16	10775802870	1702985140
1777263347	2.02	3.16	4.07	1949	5987	16	10775859030	1703231704
1777263358	2.51	3.22	4.08	1925	6011	16	10779876589	1703848200
1777263369	4.08	3.54	4.17	1947	5989	16	10787718471	1704711867
1777263381	4.70	3.69	4.21	1940	5996	16	10795530464	1705572735
1777263392	3.98	3.56	4.17	1938	5999	16	10796486261	1705912569
1777263404	3.42	3.45	4.12	1920	6016	16	10796988221	1706249458
1777263415	3.29	3.42	4.10	1914	6023	16	10804872081	1707113791
1777263427	4.34	3.64	4.17	1929	6007	16	10812678542	1707970035
1777263438	4.12	3.62	4.15	1940	5996	16	10817105338	1708597181
1777263450	3.41	3.49	4.10	1940	5997	16	10817161598	1708844204
1777263461	3.37	3.47	4.09	1948	5988	16	10821645843	1709507531
1777263473	3.45	3.49	4.09	1948	5988	16	10829445384	1710334606
1777263484	4.38	3.70	4.15	1930	6006	16	10837242060	1711194795
1777263496	3.70	3.57	4.10	1918	6018	16	10837782907	1711498498
1777263507	3.21	3.47	4.06	1921	6015	16	10838314454	1711836307
1777263518	3.80	3.59	4.10	1945	5991	16	10846111018	1712698269
1777263530	4.20	3.69	4.12	1935	6001	17	10853897711	1713560675
1777263541	4.41	3.75	4.13	1946	5991	17	10858408904	1714157588
1777263552	3.81	3.64	4.10	1951	5985	17	10858465271	1714404329
