ts	repeat	pod	cpu	mem
1777263615	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263615	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263615	1	postgres-0	61m	324Mi
1777263616	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263616	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263616	1	postgres-0	61m	324Mi
1777263617	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263617	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263617	1	postgres-0	61m	324Mi
1777263618	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263618	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263618	1	postgres-0	61m	324Mi
1777263619	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263619	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263619	1	postgres-0	61m	324Mi
1777263620	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263620	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263620	1	postgres-0	61m	324Mi
1777263621	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263621	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263621	1	postgres-0	61m	324Mi
1777263622	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263622	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263622	1	postgres-0	61m	324Mi
1777263624	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263624	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263624	1	postgres-0	61m	324Mi
1777263625	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263625	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263625	1	postgres-0	61m	324Mi
1777263626	1	hermod-coordinator-9ddc85c99-vbfs9	630m	94Mi
1777263626	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263626	1	postgres-0	61m	324Mi
1777263627	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263627	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263627	1	postgres-0	58m	324Mi
1777263628	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263628	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263628	1	postgres-0	58m	324Mi
1777263629	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263629	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263629	1	postgres-0	58m	324Mi
1777263630	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263630	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263630	1	postgres-0	58m	324Mi
1777263631	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263631	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263631	1	postgres-0	58m	324Mi
1777263632	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263632	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263632	1	postgres-0	58m	324Mi
1777263633	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263633	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263633	1	postgres-0	58m	324Mi
1777263634	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263634	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263634	1	postgres-0	58m	324Mi
1777263635	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263635	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263635	1	postgres-0	58m	324Mi
1777263636	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263636	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263636	1	postgres-0	58m	324Mi
1777263637	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263637	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263637	1	postgres-0	58m	324Mi
1777263638	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263638	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263638	1	postgres-0	58m	324Mi
1777263639	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263639	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263639	1	postgres-0	58m	324Mi
1777263640	1	hermod-coordinator-9ddc85c99-vbfs9	671m	137Mi
1777263640	1	nanomq-5d7494967d-92fpr	1m	1Mi
1777263640	1	postgres-0	58m	324Mi
1777263642	1	hermod-coordinator-9ddc85c99-vbfs9	841m	149Mi
1777263642	1	nanomq-5d7494967d-92fpr	349m	1Mi
1777263642	1	postgres-0	183m	328Mi
1777263643	1	hermod-coordinator-9ddc85c99-vbfs9	841m	149Mi
1777263643	1	nanomq-5d7494967d-92fpr	349m	1Mi
1777263643	1	postgres-0	183m	328Mi
1777263644	1	hermod-coordinator-9ddc85c99-vbfs9	841m	149Mi
1777263644	1	nanomq-5d7494967d-92fpr	349m	1Mi
1777263644	1	postgres-0	183m	328Mi
1777263666	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263666	2	nanomq-5d7494967d-92fpr	335m	1Mi
1777263666	2	postgres-0	237m	329Mi
1777263667	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263667	2	nanomq-5d7494967d-92fpr	335m	1Mi
1777263667	2	postgres-0	237m	329Mi
1777263668	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263668	2	nanomq-5d7494967d-92fpr	335m	1Mi
1777263668	2	postgres-0	237m	329Mi
1777263669	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263669	2	nanomq-5d7494967d-92fpr	335m	1Mi
1777263669	2	postgres-0	237m	329Mi
1777263670	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263670	2	nanomq-5d7494967d-92fpr	335m	1Mi
1777263670	2	postgres-0	237m	329Mi
1777263671	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263671	2	nanomq-5d7494967d-92fpr	1m	1Mi
1777263671	2	postgres-0	66m	332Mi
1777263673	2	hermod-coordinator-9ddc85c99-vbfs9	342m	146Mi
1777263673	2	nanomq-5d7494967d-92fpr	1m	1Mi
