ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777263882	1	128564	8532344	20	359726	4496	0	4096
1777263894	1	176764	8532352	20	405655	335398	0	4096
1777263905	1	181420	8534140	20	427273	335398	0	4096
1777263917	1	244748	8681772	22	495500	335814	0	4096
1777263928	1	243276	8755580	23	577343	335823	0	4096
1777263939	1	233468	8755584	23	618709	335823	0	4096
1777263951	1	233504	8755540	21	618710	335839	0	4096
1777263964	1	237288	8755540	21	683922	335839	0	4096
1777263975	1	245464	8755540	21	779662	335839	0	4096
1777263987	1	231888	8755544	21	839272	335855	0	4096
1777263999	1	232284	8755544	21	839273	335871	0	4096
1777264010	1	247600	8755540	21	871430	335887	0	4096
1777264022	1	237540	8755536	21	971578	335919	0	4096
1777264033	1	240020	8755540	21	1048831	335935	0	4096
1777264045	1	238492	8755548	21	1059923	335951	0	4096
1777264056	1	238492	8755524	20	1059923	335951	0	4096
1777264068	1	244932	9124648	27	1131890	336072	0	4096
1777264079	1	246212	9124648	27	1225585	336088	0	4096
1777264090	1	245328	9127820	26	1282769	336104	0	4096
1777264102	1	245276	9119492	23	1282769	336104	0	4096
1777264113	1	249424	9094676	21	1316774	336136	0	4096
1777264125	1	236048	9094676	21	1418767	336136	0	4096
1777264136	1	247676	9094676	21	1498783	336152	0	4096
1777264148	1	248800	9094672	21	1508020	336168	0	4096
