ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777264785	3.35	3.54	3.46	1853	6084	16	11176268491	1781806700
1777264797	2.91	3.44	3.43	1832	6104	16	11176325363	1782095684
1777264808	2.46	3.33	3.39	1851	6085	16	11176748535	1783155024
1777264820	2.14	3.21	3.35	1875	6062	16	11177499438	1784872241
1777264831	2.61	3.27	3.37	1887	6050	16	11178661373	1785379707
1777264842	2.77	3.28	3.37	1901	6035	16	11182732668	1786150619
1777264854	3.01	3.30	3.37	1935	6001	16	11186935264	1786925586
1777264866	2.63	3.21	3.34	1921	6015	16	11188091353	1787321481
1777264877	2.22	3.10	3.31	1913	6023	16	11188155962	1787602217
1777264888	3.00	3.25	3.35	1900	6036	16	11191463711	1788284870
1777264900	3.44	3.35	3.38	1922	6014	16	11195436123	1789051141
1777264911	3.58	3.38	3.39	1926	6010	16	11198672089	1789724061
1777264922	3.10	3.29	3.36	1948	5989	16	11198729583	1789977286
1777264934	2.70	3.20	3.33	1920	6016	16	11200097009	1790451013
1777264945	2.32	3.09	3.29	1914	6022	16	11204096517	1791219882
1777264957	2.87	3.18	3.32	1938	5998	16	11208083919	1791986945
1777264968	2.50	3.09	3.29	1930	6006	16	11209314684	1792386497
1777264979	2.02	2.96	3.24	1924	6013	16	11209379398	1792667419
1777264990	2.35	2.99	3.25	1959	5978	16	11212802260	1793387466
1777265002	2.29	2.96	3.24	1930	6007	16	11216768774	1794121973
1777265014	2.33	2.95	3.23	1937	5999	16	11219905266	1794799240
1777265025	1.96	2.83	3.19	1942	5994	16	11219961628	1795045189
1777265036	2.30	2.87	3.20	1941	5996	16	11221406397	1795522063
1777265048	2.51	2.89	3.20	1923	6013	16	11225366221	1796288683
1777265059	2.55	2.88	3.19	1964	5972	16	11229500936	1797061348
1777265071	2.16	2.79	3.16	1941	5996	16	11230543312	1797488361
