ts	pod	phase	restarts	ready	reason	last_termination
1777264786	hermod-coordinator-785c5755f9-wrdcc	Running	0	true	<none>	<none>
1777264786	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264786	postgres-0	Running	0	true	<none>	<none>
1777264797	hermod-coordinator-78bbd68787-gbgdp	Running	0	false	<none>	<none>
1777264797	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264797	postgres-0	Running	0	true	<none>	<none>
1777264809	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264809	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264809	postgres-0	Running	0	true	<none>	<none>
1777264820	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264820	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264820	postgres-0	Running	0	true	<none>	<none>
1777264831	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264831	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264831	postgres-0	Running	0	true	<none>	<none>
1777264843	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264843	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264843	postgres-0	Running	0	true	<none>	<none>
1777264855	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264855	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264855	postgres-0	Running	0	true	<none>	<none>
1777264866	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264866	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264866	postgres-0	Running	0	true	<none>	<none>
1777264877	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264877	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
1777264877	postgres-0	Running	0	true	<none>	<none>
1777264889	hermod-coordinator-78bbd68787-gbgdp	Running	0	true	<none>	<none>
1777264889	nanomq-584fcc6c9b-8kp4d	Running	0	true	<none>	<none>
