ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777265524	2.21	2.91	3.12	1831	6105	16	11337751090	1822327785
1777265536	1.95	2.83	3.09	1812	6125	16	11337808275	1822621720
1777265547	1.80	2.77	3.07	1836	6100	16	11338218897	1823652699
1777265558	1.75	2.73	3.05	1893	6044	16	11338982649	1825397419
1777265570	1.85	2.70	3.03	1886	6050	16	11339547587	1825852987
1777265581	1.64	2.62	3.01	1915	6021	16	11341379246	1826545415
1777265592	1.54	2.57	2.98	1950	5986	16	11343322379	1827245821
1777265604	1.70	2.57	2.98	1940	5997	16	11345165222	1827941162
1777265615	2.44	2.69	3.01	1946	5990	16	11347010723	1828637078
1777265626	2.14	2.62	2.98	1963	5974	16	11348845511	1829297802
1777265638	1.89	2.55	2.96	1953	5983	16	11350688464	1829994436
1777265649	1.68	2.48	2.93	1938	5998	16	11352536152	1830689471
1777265660	1.59	2.42	2.90	1961	5975	16	11354456028	1831387585
1777265672	1.34	2.34	2.87	1949	5987	16	11356286654	1832047393
1777265683	1.51	2.35	2.87	1933	6004	16	11358129658	1832742554
1777265695	2.17	2.44	2.89	1942	5994	16	11359979813	1833438277
1777265706	2.24	2.45	2.89	1962	5975	16	11361837317	1834099617
1777265717	2.22	2.43	2.88	1959	5978	16	11363679872	1834795034
1777265728	2.32	2.45	2.88	1971	5966	16	11365614095	1835494146
1777265740	2.09	2.39	2.86	1960	5976	16	11367462263	1836190440
1777265751	1.92	2.35	2.84	1955	5982	16	11369308567	1836852128
1777265763	1.92	2.34	2.83	1943	5994	16	11371176317	1837547346
1777265774	3.71	2.70	2.94	1947	5989	16	11373024286	1838242189
1777265785	2.89	2.57	2.89	1948	5989	16	11374881406	1838903856
1777265796	3.03	2.62	2.90	1958	5978	16	11376820288	1839637611
1777265808	3.08	2.65	2.91	1949	5988	16	11378664919	1840298093
1777265819	2.48	2.53	2.87	1950	5986	16	11380515165	1840994053
1777265831	2.25	2.48	2.85	1957	5980	16	11382355160	1841655707
1777265842	2.57	2.55	2.87	1936	6000	16	11384202845	1842349614
1777265853	2.26	2.48	2.84	1939	5997	16	11386066926	1843043037
1777265864	2.71	2.57	2.86	1973	5963	16	11388005167	1843788150
1777265876	2.60	2.55	2.85	1955	5981	16	11388320490	1844111347
1777265887	2.35	2.50	2.83	1966	5970	16	11388376676	1844347661
1777265898	1.99	2.42	2.80	1965	5971	16	11388432966	1844584060
1777265910	1.87	2.36	2.78	1949	5988	16	11389581290	1845146075
1777265921	1.80	2.33	2.77	1953	5984	16	11391409673	1845831911
1777265932	2.36	2.44	2.80	1971	5965	16	11393326547	1846520318
1777265944	2.15	2.39	2.78	1983	5954	16	11395156480	1847170405
1777265955	2.29	2.42	2.78	1969	5967	16	11396987387	1847855847
1777265966	2.17	2.39	2.77	1959	5977	16	11398838067	1848541908
1777265978	1.98	2.34	2.75	1961	5976	16	11400662794	1849191886
1777265989	2.72	2.49	2.79	1966	5970	16	11402496823	1849876379
1777266000	2.63	2.48	2.78	1980	5957	16	11404404080	1850564611
1777266012	2.31	2.42	2.76	1966	5970	16	11406230302	1851214600
1777266023	2.25	2.40	2.75	1974	5963	16	11408070823	1851900232
1777266034	1.90	2.32	2.72	1964	5972	16	11409916917	1852585630
1777266045	2.35	2.41	2.74	1957	5979	16	11411756309	1853236355
1777266057	2.71	2.48	2.76	1960	5976	16	11413604041	1853921975
1777266068	3.10	2.56	2.78	1971	5966	16	11415527196	1854609997
1777266080	2.86	2.53	2.77	1953	5984	16	11417364787	1855260841
1777266091	2.42	2.45	2.74	1961	5976	16	11419206836	1855946137
1777266102	2.99	2.57	2.78	1957	5979	16	11421051073	1856630943
1777266113	3.61	2.71	2.82	1961	5976	16	11422893489	1857282027
1777266124	3.48	2.73	2.82	1964	5973	16	11424740794	1857967708
1777266135	3.64	2.79	2.84	1993	5943	16	11426662294	1858656206
1777266147	3.70	2.83	2.86	1970	5967	17	11428528136	1859398743
1777266159	3.85	2.88	2.87	1971	5965	16	11430364916	1860049868
1777266170	3.20	2.79	2.84	1984	5953	16	11432225256	1860736453
1777266181	2.86	2.73	2.82	1970	5967	17	11434071716	1861422387
1777266192	2.74	2.71	2.81	1964	5972	17	11435914633	1862073027
1777266204	2.55	2.67	2.80	1965	5971	17	11437661144	1862754605
1777266215	2.12	2.57	2.76	1958	5979	17	11437719379	1862998719
1777266226	1.79	2.48	2.73	1953	5983	17	11437775458	1863235072
1777266238	1.60	2.42	2.71	1951	5986	17	11437839577	1863506070
1777266249	1.43	2.35	2.69	1955	5981	17	11439409368	1864154415
1777266260	1.48	2.32	2.67	1963	5973	17	11441251320	1864805893
1777266271	1.25	2.24	2.64	1963	5973	17	11443160003	1865494047
1777266283	1.14	2.18	2.62	1951	5985	17	11445006279	1866179926
1777266294	1.52	2.23	2.63	1954	5982	17	11446844641	1866865261
1777266306	1.33	2.15	2.59	1962	5974	17	11448699600	1867518381
1777266317	1.12	2.08	2.57	1953	5983	17	11450548515	1868204425
1777266328	0.95	2.01	2.54	1964	5973	17	11452398416	1868891904
1777266339	1.35	2.04	2.54	1953	5984	17	11454323312	1869581124
1777266351	1.38	2.03	2.53	1959	5977	17	11456169211	1870232278
1777266362	1.78	2.09	2.55	1959	5977	17	11458014484	1870917527
1777266374	1.95	2.12	2.55	1938	5998	17	11459864267	1871603885
1777266385	1.87	2.10	2.54	1963	5973	17	11461700870	1872255580
1777266396	1.90	2.09	2.53	1965	5972	17	11463555476	1872942161
1777266407	2.51	2.22	2.57	1960	5976	17	11465472167	1873631184
1777266419	2.35	2.20	2.56	1967	5969	17	11467328806	1874318036
1777266430	2.64	2.27	2.57	1978	5958	17	11469178100	1875025649
1777266442	2.31	2.21	2.55	1966	5971	17	11471020600	1875711314
1777266453	2.10	2.17	2.53	1960	5976	17	11472864240	1876362373
1777266464	1.86	2.12	2.51	1968	5969	17	11474712135	1877048254
1777266475	1.58	2.04	2.48	1976	5960	17	11476645212	1877738104
1777266487	2.08	2.14	2.51	1965	5971	17	11478486173	1878424561
1777266498	2.06	2.14	2.50	1966	5971	17	11480373422	1879112735
1777266510	1.75	2.06	2.47	1973	5963	17	11482230711	1879764850
1777266521	2.30	2.17	2.50	1974	5962	17	11484076926	1880450839
1777266532	2.43	2.20	2.51	1971	5965	17	11485912679	1881102720
1777266543	2.13	2.15	2.49	1977	5960	17	11487109465	1881667102
1777266555	1.80	2.07	2.46	1968	5969	17	11487165183	1881903554
1777266566	1.52	2.00	2.43	1964	5973	17	11487221108	1882140022
1777266577	1.29	1.94	2.40	1965	5971	17	11487560303	1882498241
1777266589	2.56	2.19	2.48	1966	5970	17	11489388518	1883183591
1777266600	2.13	2.11	2.45	1990	5946	17	11491219376	1883834747
1777266611	2.84	2.26	2.49	1960	5976	17	11493174557	1884559866
1777266623	2.70	2.25	2.49	1964	5973	17	11495009118	1885210966
1777266634	2.60	2.24	2.48	1965	5971	17	11496855143	1885897163
1777266646	2.37	2.21	2.47	1958	5979	17	11498700402	1886583012
1777266657	2.60	2.27	2.49	1964	5972	17	11500541875	1887234140
1777266668	2.28	2.21	2.46	1966	5971	17	11502388039	1887920036
1777266679	2.41	2.24	2.47	1980	5956	17	11504295784	1888615664
1777266691	2.19	2.19	2.45	1965	5971	17	11506161717	1889303279
1777266702	2.29	2.22	2.46	1965	5971	17	11508011088	1889955550
1777266714	3.05	2.39	2.51	1967	5969	17	11509871348	1890697755
1777266725	2.59	2.32	2.49	1989	5947	17	11511720842	1891383221
1777266736	2.19	2.25	2.46	1970	5967	17	11513574016	1892034744
1777266748	2.38	2.29	2.47	1975	5962	17	11515492187	1892722783
1777266759	2.47	2.31	2.47	1954	5982	17	11517331285	1893410279
1777266770	2.05	2.23	2.44	1966	5970	17	11519173179	1894095654
1777266782	1.96	2.20	2.43	1962	5974	17	11521020741	1894746600
1777266793	2.45	2.30	2.46	1959	5977	17	11522867711	1895432157
1777266804	2.73	2.37	2.48	1964	5972	17	11524706044	1896117472
1777266815	2.84	2.40	2.49	1986	5950	17	11526631270	1896806351
1777266827	2.96	2.44	2.50	1959	5977	17	11528472872	1897457392
1777266838	2.50	2.36	2.47	1978	5958	17	11530314973	1898142723
1777266849	2.28	2.31	2.46	1973	5964	17	11532148419	1898793209
1777266861	2.43	2.35	2.47	1970	5967	17	11533994766	1899478541
1777266872	2.98	2.47	2.50	1960	5977	17	11535838654	1900163935
1777266883	2.60	2.40	2.48	1964	5972	17	11536522028	1900570552
1777266895	2.09	2.30	2.45	1968	5968	17	11536578058	1900807064
1777266906	1.77	2.22	2.42	1969	5967	17	11536633827	1901043446
1777266917	1.57	2.17	2.40	1967	5969	17	11537508994	1901526536
1777266928	1.92	2.22	2.42	1966	5970	17	11539341708	1902211905
1777266940	2.27	2.29	2.44	1966	5970	17	11541176974	1902898200
1777266951	2.08	2.25	2.42	1974	5963	17	11543082788	1903586428
1777266963	2.14	2.26	2.42	1979	5958	17	11544928040	1904238273
1777266974	1.96	2.22	2.41	1961	5975	17	11546758385	1904923477
1777266985	2.57	2.34	2.44	1971	5965	17	11548594774	1905608722
1777266996	2.32	2.29	2.43	1977	5959	17	11550444394	1906309735
1777267008	1.97	2.22	2.40	1978	5958	17	11552277399	1906995203
1777267019	2.50	2.33	2.43	1970	5966	17	11554197515	1907684079
1777267031	2.01	2.23	2.40	1973	5963	17	11556084395	1908372668
1777267042	1.70	2.15	2.37	1969	5968	17	11557928706	1909024394
1777267053	1.59	2.11	2.36	1982	5955	17	11559801174	1909711910
1777267065	1.66	2.11	2.35	1962	5974	17	11561645768	1910398366
1777267076	1.78	2.12	2.35	1969	5967	17	11563485679	1911049653
1777267087	1.51	2.05	2.33	1968	5968	17	11565403870	1911738048
1777267099	1.43	2.02	2.31	1970	5967	17	11567254909	1912424244
1777267110	1.59	2.02	2.31	1966	5970	17	11569094601	1913109929
1777267121	1.72	2.03	2.31	1954	5982	17	11570931823	1913761699
1777267132	1.45	1.96	2.29	1972	5965	17	11572775467	1914448397
1777267144	1.23	1.90	2.26	1961	5975	17	11574619610	1915100006
1777267155	1.97	2.03	2.30	1965	5971	17	11576560968	1915824173
1777267167	2.41	2.13	2.33	1971	5965	17	11578398327	1916475362
1777267178	2.35	2.13	2.32	1968	5968	17	11580241580	1917161533
1777267189	1.99	2.05	2.30	1959	5977	17	11582087429	1917813542
1777267200	2.17	2.10	2.31	1965	5972	17	11583931785	1918499227
1777267212	2.14	2.09	2.31	1979	5957	17	11585783603	1919151458
1777267223	1.81	2.02	2.28	1973	5963	17	11585927382	1919433337
1777267234	1.53	1.96	2.26	1956	5981	17	11585983644	1919669877
