ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777267365	1	192188	8665060	18	424256	199432	0	4096
1777267376	1	198140	8665080	19	456560	327713	0	4096
1777267387	1	206340	8665076	19	462092	327713	0	4096
1777267399	1	192012	8665096	20	473149	327722	0	4096
1777267410	1	191064	8665076	19	482351	327722	0	4096
1777267421	1	191032	8665080	19	484200	327738	0	4096
1777267433	1	191100	8665108	20	484201	327754	0	4096
1777267444	1	191052	8665104	20	493416	327770	0	4096
1777267455	1	191092	8665080	19	502625	327786	0	4096
1777267466	1	191136	8665108	20	509994	327818	0	4096
1777267478	1	191136	8665084	19	509994	327818	0	4096
1777267489	1	191192	8665060	18	513684	327850	0	4096
1777267501	1	191256	8665084	19	522895	327898	0	4096
1777267512	1	191844	8665084	19	533929	327898	0	4096
1777267523	1	193884	8665084	19	535774	327914	0	4096
1777267534	1	191588	8665060	18	535774	327914	0	4096
1777267545	1	191632	8665060	18	543152	327946	0	4096
1777267557	1	191676	8665084	19	554211	327962	0	4096
1777267568	1	192004	8665060	18	561576	327978	0	4096
1777267579	1	192008	8665060	18	561577	327994	0	4096
1777267591	1	192588	8665084	19	565266	328010	0	4096
1777267602	1	192660	8665060	18	574475	328026	0	4096
1777267613	1	192712	8665056	18	583684	328042	0	4096
1777267624	1	192744	8665056	18	587372	328042	0	4096
