ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777267364	1.04	1.65	2.10	1898	6038	16	11592997895	1926343886
1777267375	1.35	1.70	2.11	1888	6049	16	11593985430	1928620084
1777267387	1.38	1.69	2.10	1887	6050	16	11595833555	1929152626
1777267398	1.32	1.67	2.09	1881	6055	16	11599786170	1929921550
1777267409	1.12	1.62	2.07	1878	6059	16	11603728371	1930689515
1777267420	1.21	1.62	2.06	1888	6048	16	11604584545	1931075182
1777267432	1.02	1.56	2.04	1902	6034	16	11604648883	1931355421
1777267443	0.86	1.51	2.02	1873	6064	16	11608165918	1932079065
1777267455	1.05	1.53	2.02	1870	6067	16	11612096139	1932842788
1777267466	1.16	1.53	2.01	1874	6062	16	11615164208	1933513618
1777267477	0.98	1.48	1.99	1879	6058	16	11615220536	1933759339
1777267488	0.83	1.43	1.97	1866	6070	16	11616415289	1934226213
1777267499	1.10	1.46	1.97	1882	6054	16	11620554427	1935000261
1777267511	0.93	1.41	1.95	1882	6054	16	11624467418	1935732259
1777267522	0.93	1.40	1.94	1880	6056	16	11625809487	1936170248
1777267534	0.87	1.37	1.92	1874	6062	16	11625873982	1936450488
1777267545	1.32	1.43	1.93	1873	6063	16	11628923780	1937122697
1777267556	1.34	1.44	1.93	1880	6057	16	11632844290	1937853058
1777267567	1.43	1.45	1.93	1890	6046	16	11636390680	1938569619
1777267579	1.36	1.44	1.92	1882	6054	16	11636449032	1938820136
1777267590	1.27	1.42	1.90	1887	6050	16	11637506666	1939294809
1777267601	1.15	1.39	1.89	1884	6052	16	11641437236	1940051023
1777267613	1.45	1.44	1.90	1879	6057	16	11645365990	1940806791
1777267624	1.23	1.39	1.88	1886	6051	16	11647037036	1941281798
1777267635	0.95	1.32	1.85	1906	6030	16	11647093056	1941517988
