ts	pod	phase	restarts	ready	reason	last_termination
1777267365	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267365	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267365	postgres-0	Running	0	true	<none>	<none>
1777267376	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267376	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267376	postgres-0	Running	0	true	<none>	<none>
1777267387	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267387	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267387	postgres-0	Running	0	true	<none>	<none>
1777267398	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267398	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267398	postgres-0	Running	0	true	<none>	<none>
1777267410	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267410	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267410	postgres-0	Running	0	true	<none>	<none>
1777267421	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267421	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267421	postgres-0	Running	0	true	<none>	<none>
1777267432	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267432	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267432	postgres-0	Running	0	true	<none>	<none>
1777267444	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267444	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267444	postgres-0	Running	0	true	<none>	<none>
1777267455	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267455	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267455	postgres-0	Running	0	true	<none>	<none>
1777267466	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267466	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267466	postgres-0	Running	0	true	<none>	<none>
1777267477	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267477	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267477	postgres-0	Running	0	true	<none>	<none>
1777267489	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267489	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267489	postgres-0	Running	0	true	<none>	<none>
1777267500	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267500	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267500	postgres-0	Running	0	true	<none>	<none>
1777267512	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267512	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267512	postgres-0	Running	0	true	<none>	<none>
1777267523	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267523	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267523	postgres-0	Running	0	true	<none>	<none>
1777267534	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267534	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267534	postgres-0	Running	0	true	<none>	<none>
1777267545	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267545	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267545	postgres-0	Running	0	true	<none>	<none>
1777267556	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267556	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267556	postgres-0	Running	0	true	<none>	<none>
1777267568	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267568	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267568	postgres-0	Running	0	true	<none>	<none>
1777267579	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267579	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267579	postgres-0	Running	0	true	<none>	<none>
1777267591	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267591	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267591	postgres-0	Running	0	true	<none>	<none>
1777267602	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267602	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267602	postgres-0	Running	0	true	<none>	<none>
1777267613	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267613	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267613	postgres-0	Running	0	true	<none>	<none>
1777267624	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267624	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267624	postgres-0	Running	0	true	<none>	<none>
1777267636	hermod-coordinator-c64c478c7-fl7dz	Running	0	true	<none>	<none>
1777267636	nanomq-666594d9dc-qvb4s	Running	0	true	<none>	<none>
1777267636	postgres-0	Running	0	true	<none>	<none>
