ts	repeat	pod	cpu	mem
1777267382	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267382	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267382	1	postgres-0	10m	316Mi
1777267383	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267383	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267383	1	postgres-0	10m	316Mi
1777267384	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267384	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267384	1	postgres-0	10m	316Mi
1777267385	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267385	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267385	1	postgres-0	10m	316Mi
1777267386	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267386	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267386	1	postgres-0	10m	316Mi
1777267387	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267387	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267387	1	postgres-0	10m	316Mi
1777267388	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267388	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267388	1	postgres-0	10m	316Mi
1777267389	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267389	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267389	1	postgres-0	10m	316Mi
1777267390	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267390	1	nanomq-666594d9dc-qvb4s	1m	1Mi
1777267390	1	postgres-0	10m	316Mi
1777267391	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267391	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267391	1	postgres-0	9m	316Mi
1777267392	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267392	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267392	1	postgres-0	9m	316Mi
1777267393	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267393	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267393	1	postgres-0	9m	316Mi
1777267394	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267394	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267394	1	postgres-0	9m	316Mi
1777267396	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267396	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267396	1	postgres-0	9m	316Mi
1777267397	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267397	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267397	1	postgres-0	9m	316Mi
1777267398	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267398	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267398	1	postgres-0	9m	316Mi
1777267399	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267399	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267399	1	postgres-0	9m	316Mi
1777267400	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267400	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267400	1	postgres-0	9m	316Mi
1777267401	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267401	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267401	1	postgres-0	9m	316Mi
1777267402	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267402	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267402	1	postgres-0	9m	316Mi
1777267403	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267403	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267403	1	postgres-0	9m	316Mi
1777267404	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267404	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267404	1	postgres-0	9m	316Mi
1777267405	1	hermod-coordinator-c64c478c7-fl7dz	223m	116Mi
1777267405	1	nanomq-666594d9dc-qvb4s	65m	1Mi
1777267405	1	postgres-0	9m	316Mi
1777267406	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267406	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267406	1	postgres-0	9m	316Mi
1777267407	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267407	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267407	1	postgres-0	9m	316Mi
1777267408	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267408	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267408	1	postgres-0	9m	316Mi
1777267409	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267409	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267409	1	postgres-0	9m	316Mi
1777267410	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267410	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267410	1	postgres-0	9m	316Mi
1777267411	1	hermod-coordinator-c64c478c7-fl7dz	361m	109Mi
1777267411	1	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267411	1	postgres-0	9m	316Mi
1777267434	2	hermod-coordinator-c64c478c7-fl7dz	340m	109Mi
1777267434	2	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267434	2	postgres-0	8m	315Mi
1777267435	2	hermod-coordinator-c64c478c7-fl7dz	340m	109Mi
1777267435	2	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267435	2	postgres-0	8m	315Mi
1777267436	2	hermod-coordinator-c64c478c7-fl7dz	340m	109Mi
1777267436	2	nanomq-666594d9dc-qvb4s	342m	1Mi
1777267436	2	postgres-0	8m	315Mi
1777267437	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267437	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267437	2	postgres-0	6m	315Mi
1777267438	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267438	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267438	2	postgres-0	6m	315Mi
1777267439	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267439	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267439	2	postgres-0	6m	315Mi
1777267440	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267440	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267440	2	postgres-0	6m	315Mi
1777267441	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267441	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267441	2	postgres-0	6m	315Mi
1777267442	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267442	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267442	2	postgres-0	6m	315Mi
1777267443	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267443	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267443	2	postgres-0	6m	315Mi
1777267444	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267444	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267444	2	postgres-0	6m	315Mi
1777267445	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267445	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267445	2	postgres-0	6m	315Mi
1777267446	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267446	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267446	2	postgres-0	6m	315Mi
1777267447	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267447	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267447	2	postgres-0	6m	315Mi
1777267448	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267448	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267448	2	postgres-0	6m	315Mi
1777267449	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267449	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267449	2	postgres-0	6m	315Mi
1777267450	2	hermod-coordinator-c64c478c7-fl7dz	8m	109Mi
1777267450	2	nanomq-666594d9dc-qvb4s	150m	1Mi
1777267450	2	postgres-0	6m	315Mi
1777267451	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267451	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267451	2	postgres-0	7m	315Mi
1777267453	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267453	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267453	2	postgres-0	7m	315Mi
1777267454	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267454	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267454	2	postgres-0	7m	315Mi
1777267455	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267455	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267455	2	postgres-0	7m	315Mi
1777267456	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267456	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267456	2	postgres-0	7m	315Mi
1777267457	2	hermod-coordinator-c64c478c7-fl7dz	333m	109Mi
1777267457	2	nanomq-666594d9dc-qvb4s	200m	1Mi
1777267457	2	postgres-0	7m	315Mi
