ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777267936	2.36	2.07	2.02	1811	6125	16	11751655421	1959186576
1777267947	2.08	2.02	2.00	1836	6101	16	11751712500	1959481604
1777267958	1.76	1.95	1.98	1859	6077	16	11752047685	1960355515
1777267969	1.79	1.95	1.98	1892	6045	16	11752884011	1962259934
1777267981	1.55	1.89	1.96	1902	6034	16	11753220775	1962708179
1777267992	2.05	1.99	1.99	1907	6029	16	11754283600	1963377697
1777268004	2.96	2.19	2.05	1916	6020	16	11755356224	1964047632
1777268015	2.72	2.18	2.05	1915	6021	16	11755839888	1964494503
1777268026	2.31	2.10	2.03	1919	6017	16	11755896197	1964743570
1777268037	1.95	2.03	2.01	1930	6007	16	11756616426	1965303751
1777268048	2.04	2.05	2.01	1934	6002	16	11757727464	1966009697
1777268060	1.66	1.96	1.98	1937	6000	16	11758779153	1966645490
1777268071	1.40	1.90	1.96	1938	5998	16	11758837929	1966902330
1777268082	1.19	1.84	1.94	1938	5999	16	11759036669	1967268898
1777268094	1.69	1.92	1.97	1932	6004	16	11760098819	1967938400
1777268105	1.85	1.95	1.98	1943	5993	16	11761160752	1968573543
1777268116	1.64	1.90	1.96	1970	5967	16	11761779409	1969060382
1777268128	1.39	1.83	1.94	1940	5996	16	11761835927	1969309496
