ts	repeat	pod	cpu	mem
1777267979	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267979	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267979	1	postgres-0	85m	318Mi
1777267980	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267980	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267980	1	postgres-0	85m	318Mi
1777267981	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267981	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267981	1	postgres-0	85m	318Mi
1777267982	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267982	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267982	1	postgres-0	85m	318Mi
1777267983	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267983	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267983	1	postgres-0	85m	318Mi
1777267984	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267984	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267984	1	postgres-0	85m	318Mi
1777267985	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267985	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267985	1	postgres-0	85m	318Mi
1777267986	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267986	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267986	1	postgres-0	85m	318Mi
1777267987	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267987	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267987	1	postgres-0	85m	318Mi
1777267988	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267988	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267988	1	postgres-0	85m	318Mi
1777267989	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267989	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267989	1	postgres-0	85m	318Mi
1777267990	1	hermod-coordinator-7db5c97c54-jhh6m	627m	94Mi
1777267990	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267990	1	postgres-0	85m	318Mi
1777267991	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267991	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267991	1	postgres-0	55m	322Mi
1777267992	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267992	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267992	1	postgres-0	55m	322Mi
1777267993	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267993	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267993	1	postgres-0	55m	322Mi
1777267994	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267994	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267994	1	postgres-0	55m	322Mi
1777267995	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267995	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267995	1	postgres-0	55m	322Mi
1777267996	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267996	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267996	1	postgres-0	55m	322Mi
1777267998	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267998	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267998	1	postgres-0	55m	322Mi
1777267999	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777267999	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777267999	1	postgres-0	55m	322Mi
1777268000	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777268000	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777268000	1	postgres-0	55m	322Mi
1777268001	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777268001	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777268001	1	postgres-0	55m	322Mi
1777268002	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777268002	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777268002	1	postgres-0	55m	322Mi
1777268003	1	hermod-coordinator-7db5c97c54-jhh6m	406m	125Mi
1777268003	1	nanomq-d6c898bcc-hz5s5	1m	1Mi
1777268003	1	postgres-0	55m	322Mi
