ts	repeat	pod	cpu	mem
1777268171	1	hermod-coordinator-54b8fbd94f-nh8jl	550m	64Mi
1777268171	1	nanomq-f9cdd76db-znzf2	3m	1Mi
1777268171	1	postgres-0	70m	319Mi
1777268172	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268172	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268172	1	postgres-0	36m	319Mi
1777268173	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268173	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268173	1	postgres-0	36m	319Mi
1777268174	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268174	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268174	1	postgres-0	36m	319Mi
1777268175	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268175	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268175	1	postgres-0	36m	319Mi
1777268176	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268176	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268176	1	postgres-0	36m	319Mi
1777268177	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268177	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268177	1	postgres-0	36m	319Mi
1777268178	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268178	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268178	1	postgres-0	36m	319Mi
1777268179	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268179	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268179	1	postgres-0	36m	319Mi
1777268180	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268180	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268180	1	postgres-0	36m	319Mi
1777268181	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268181	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268181	1	postgres-0	36m	319Mi
1777268182	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268182	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268182	1	postgres-0	36m	319Mi
1777268183	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268183	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268183	1	postgres-0	36m	319Mi
1777268185	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268185	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268185	1	postgres-0	36m	319Mi
1777268186	1	hermod-coordinator-54b8fbd94f-nh8jl	452m	92Mi
1777268186	1	nanomq-f9cdd76db-znzf2	1m	1Mi
1777268186	1	postgres-0	36m	319Mi
1777268187	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268187	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268187	1	postgres-0	223m	326Mi
1777268188	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268188	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268188	1	postgres-0	223m	326Mi
1777268189	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268189	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268189	1	postgres-0	223m	326Mi
1777268190	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268190	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268190	1	postgres-0	223m	326Mi
1777268191	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268191	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268191	1	postgres-0	223m	326Mi
1777268192	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268192	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268192	1	postgres-0	223m	326Mi
1777268193	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268193	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268193	1	postgres-0	223m	326Mi
1777268194	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268194	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268194	1	postgres-0	223m	326Mi
1777268195	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268195	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268195	1	postgres-0	223m	326Mi
1777268196	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268196	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268196	1	postgres-0	223m	326Mi
1777268197	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268197	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268197	1	postgres-0	223m	326Mi
1777268198	1	hermod-coordinator-54b8fbd94f-nh8jl	1207m	153Mi
1777268198	1	nanomq-f9cdd76db-znzf2	126m	1Mi
1777268198	1	postgres-0	223m	326Mi
