ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777268341	2.57	2.39	2.15	1810	6126	16	11795080750	1980994750
1777268352	2.40	2.36	2.15	1888	6048	16	11796186274	1983464095
1777268363	2.11	2.29	2.13	1895	6041	16	11796262281	1983798589
1777268374	2.55	2.38	2.16	1978	5958	16	11803788124	1984649499
1777268386	3.03	2.51	2.20	1971	5966	16	11812036799	1985520082
1777268398	3.52	2.64	2.25	1967	5970	16	11816791806	1986192776
1777268409	3.20	2.60	2.24	1955	5982	16	11816847699	1986441648
1777268420	3.29	2.64	2.26	1974	5962	16	11820361276	1987009122
1777268431	3.60	2.73	2.30	1964	5973	16	11828132208	1987869676
1777268443	4.35	2.92	2.36	1962	5974	16	11836082573	1988784974
1777268455	4.01	2.92	2.37	1979	5957	16	11837461772	1989150956
1777268466	3.55	2.86	2.36	1973	5963	16	11837958878	1989490528
1777268478	4.40	3.06	2.43	1967	5970	16	11845732961	1990352490
1777268490	5.77	3.41	2.55	1964	5973	16	11853526488	1991213416
1777268501	5.76	3.53	2.60	1964	5972	16	11858079886	1991845965
1777268513	5.03	3.45	2.59	1961	5975	16	11858136091	1992095169
