ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777269152	0.70	1.09	1.69	1865	6071	16	11941463570	2024286834
1777269163	0.59	1.06	1.67	1883	6054	16	11942519909	2026680299
1777269174	0.58	1.04	1.65	1874	6063	16	11945263142	2027233894
1777269186	1.88	1.30	1.73	1882	6055	16	11952966089	2028095802
1777269197	2.46	1.44	1.77	1897	6039	16	11960652314	2028954572
1777269208	2.59	1.51	1.79	1862	6074	16	11963148006	2029425084
1777269219	2.20	1.45	1.77	1863	6073	16	11963212226	2029708966
1777269231	2.30	1.51	1.78	1866	6071	16	11969283568	2030460285
1777269242	2.48	1.58	1.80	1865	6071	16	11976962386	2031322265
1777269254	2.10	1.53	1.78	1865	6072	16	11983771013	2032087943
1777269265	1.92	1.51	1.78	1857	6079	16	11983829571	2032344257
1777269276	2.06	1.55	1.78	1862	6074	16	11985674862	2032794470
1777269287	1.97	1.55	1.78	1881	6055	16	11993734631	2033665072
1777269299	1.67	1.50	1.76	1867	6070	16	12001462149	2034577971
1777269310	1.53	1.48	1.75	1858	6078	16	12004466216	2035098369
1777269321	1.30	1.43	1.73	1868	6068	16	12004522629	2035347280
1777269333	1.90	1.55	1.76	1866	6070	16	12009812941	2036074795
1777269344	2.08	1.59	1.78	1870	6066	16	12017477383	2036898727
1777269355	1.77	1.55	1.76	1879	6058	16	12025085516	2037756594
1777269367	1.58	1.51	1.75	1854	6083	16	12025143977	2038012957
1777269378	1.34	1.46	1.73	1857	6079	16	12026446919	2038410860
1777269389	1.43	1.48	1.73	1861	6076	16	12034116438	2039270396
1777269401	1.53	1.50	1.73	1856	6081	16	12041886555	2040136011
1777269412	1.44	1.49	1.72	1862	6074	16	12045766402	2040680351
1777269423	1.22	1.44	1.70	1876	6061	16	12045822966	2040929198
