ts	repeat	pod	cpu	mem
1777269468	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269468	1	nanomq-75586859cd-nll86	1m	1Mi
1777269468	1	postgres-0	10m	315Mi
1777269469	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269469	1	nanomq-75586859cd-nll86	1m	1Mi
1777269469	1	postgres-0	10m	315Mi
1777269470	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269470	1	nanomq-75586859cd-nll86	1m	1Mi
1777269470	1	postgres-0	10m	315Mi
1777269472	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269472	1	nanomq-75586859cd-nll86	1m	1Mi
1777269472	1	postgres-0	10m	315Mi
1777269473	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269473	1	nanomq-75586859cd-nll86	1m	1Mi
1777269473	1	postgres-0	10m	315Mi
1777269474	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269474	1	nanomq-75586859cd-nll86	1m	1Mi
1777269474	1	postgres-0	10m	315Mi
1777269475	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269475	1	nanomq-75586859cd-nll86	1m	1Mi
1777269475	1	postgres-0	10m	315Mi
1777269476	1	hermod-coordinator-6cf885ddb4-7frz4	131m	41Mi
1777269476	1	nanomq-75586859cd-nll86	1m	1Mi
1777269476	1	postgres-0	10m	315Mi
1777269477	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269477	1	nanomq-75586859cd-nll86	84m	2Mi
1777269477	1	postgres-0	7m	315Mi
1777269478	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269478	1	nanomq-75586859cd-nll86	84m	2Mi
1777269478	1	postgres-0	7m	315Mi
1777269479	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269479	1	nanomq-75586859cd-nll86	84m	2Mi
1777269479	1	postgres-0	7m	315Mi
1777269480	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269480	1	nanomq-75586859cd-nll86	84m	2Mi
1777269480	1	postgres-0	7m	315Mi
1777269481	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269481	1	nanomq-75586859cd-nll86	84m	2Mi
1777269481	1	postgres-0	7m	315Mi
1777269482	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269482	1	nanomq-75586859cd-nll86	84m	2Mi
1777269482	1	postgres-0	7m	315Mi
1777269483	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269483	1	nanomq-75586859cd-nll86	84m	2Mi
1777269483	1	postgres-0	7m	315Mi
1777269484	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269484	1	nanomq-75586859cd-nll86	84m	2Mi
1777269484	1	postgres-0	7m	315Mi
1777269485	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269485	1	nanomq-75586859cd-nll86	84m	2Mi
1777269485	1	postgres-0	7m	315Mi
1777269486	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269486	1	nanomq-75586859cd-nll86	84m	2Mi
1777269486	1	postgres-0	7m	315Mi
1777269487	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269487	1	nanomq-75586859cd-nll86	84m	2Mi
1777269487	1	postgres-0	7m	315Mi
1777269488	1	hermod-coordinator-6cf885ddb4-7frz4	444m	73Mi
1777269488	1	nanomq-75586859cd-nll86	84m	2Mi
