ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777269735	3.11	2.66	2.18	1804	6133	16	12251906899	2061166198
1777269746	2.63	2.58	2.16	1824	6112	16	12251963926	2061464184
1777269758	2.45	2.54	2.15	1848	6088	16	12252303490	2062348351
1777269769	2.23	2.49	2.14	1902	6034	16	12253984317	2066052151
1777269781	2.48	2.53	2.16	1867	6069	16	12255559894	2069535554
1777269792	2.09	2.45	2.13	1866	6071	16	12255636081	2069869868
1777269803	2.93	2.61	2.19	2001	5936	16	12263237113	2070722395
1777269815	3.64	2.77	2.25	2016	5920	16	12271044579	2071581465
1777269826	4.18	2.95	2.31	2027	5909	16	12276179921	2072266823
1777269838	3.62	2.87	2.29	2048	5888	16	12276236432	2072515816
1777269849	3.86	2.94	2.32	2003	5934	16	12279827497	2073085885
1777269861	4.83	3.20	2.42	2014	5922	16	12287739096	2073949865
1777269872	5.48	3.39	2.49	2017	5920	16	12295542315	2074859349
1777269884	5.00	3.36	2.49	2027	5909	16	12296842809	2075222124
1777269895	3.97	3.21	2.46	2026	5911	16	12296909019	2075513774
1777269906	4.28	3.31	2.49	2043	5894	16	12304525220	2076370293
1777269918	5.09	3.51	2.57	2028	5908	16	12312338288	2077228312
1777269929	5.07	3.56	2.60	2043	5893	16	12317451233	2077910608
1777269941	4.38	3.48	2.59	2030	5906	16	12317507744	2078159606
