ts	pod	phase	restarts	ready	reason	last_termination
1777269736	hermod-coordinator-7c5cb557b6-btrxw	Running	0	true	<none>	<none>
1777269736	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269736	postgres-0	Running	0	true	<none>	<none>
1777269747	hermod-coordinator-d9946cccf-5sb2r	Running	0	false	<none>	<none>
1777269747	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269747	postgres-0	Running	0	true	<none>	<none>
1777269758	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269758	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269758	postgres-0	Running	0	true	<none>	<none>
1777269770	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269770	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269770	postgres-0	Running	0	true	<none>	<none>
1777269781	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269781	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269781	postgres-0	Running	0	true	<none>	<none>
1777269793	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269793	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269793	postgres-0	Running	0	true	<none>	<none>
1777269804	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269804	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269804	postgres-0	Running	0	true	<none>	<none>
1777269815	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269815	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269815	postgres-0	Running	0	true	<none>	<none>
1777269827	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269827	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269827	postgres-0	Running	0	true	<none>	<none>
1777269838	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269838	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269838	postgres-0	Running	0	true	<none>	<none>
1777269850	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269850	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269850	postgres-0	Running	0	true	<none>	<none>
1777269861	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269861	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269861	postgres-0	Running	0	true	<none>	<none>
1777269873	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269873	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269873	postgres-0	Running	0	true	<none>	<none>
1777269884	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269884	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269884	postgres-0	Running	0	true	<none>	<none>
1777269895	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269895	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269895	postgres-0	Running	0	true	<none>	<none>
1777269907	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269907	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269907	postgres-0	Running	0	true	<none>	<none>
1777269918	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269918	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269918	postgres-0	Running	0	true	<none>	<none>
1777269930	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269930	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269930	postgres-0	Running	0	true	<none>	<none>
1777269941	hermod-coordinator-d9946cccf-5sb2r	Running	0	true	<none>	<none>
1777269941	nanomq-bb9978857-vq9qk	Running	0	true	<none>	<none>
1777269941	postgres-0	Running	0	true	<none>	<none>
