ts	repeat	pod	cpu	mem
1777269793	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269793	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269793	1	postgres-0	115m	320Mi
1777269794	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269794	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269794	1	postgres-0	115m	320Mi
1777269795	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269795	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269795	1	postgres-0	115m	320Mi
1777269796	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269796	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269796	1	postgres-0	115m	320Mi
1777269797	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269797	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269797	1	postgres-0	115m	320Mi
1777269798	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269798	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269798	1	postgres-0	115m	320Mi
1777269799	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269799	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269799	1	postgres-0	115m	320Mi
1777269800	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269800	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269800	1	postgres-0	115m	320Mi
1777269801	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269801	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269801	1	postgres-0	115m	320Mi
1777269802	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269802	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269802	1	postgres-0	115m	320Mi
1777269803	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269803	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269803	1	postgres-0	115m	320Mi
1777269804	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269804	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269804	1	postgres-0	115m	320Mi
1777269805	1	hermod-coordinator-d9946cccf-5sb2r	329m	74Mi
1777269805	1	nanomq-bb9978857-vq9qk	1m	1Mi
1777269805	1	postgres-0	115m	320Mi
1777269806	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269806	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269806	1	postgres-0	166m	330Mi
1777269808	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269808	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269808	1	postgres-0	166m	330Mi
1777269809	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269809	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269809	1	postgres-0	166m	330Mi
1777269810	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269810	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269810	1	postgres-0	166m	330Mi
1777269811	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269811	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269811	1	postgres-0	166m	330Mi
1777269812	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269812	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269812	1	postgres-0	166m	330Mi
1777269813	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269813	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269813	1	postgres-0	166m	330Mi
1777269814	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269814	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269814	1	postgres-0	166m	330Mi
1777269815	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269815	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269815	1	postgres-0	166m	330Mi
1777269816	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269816	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269816	1	postgres-0	166m	330Mi
1777269817	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269817	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269817	1	postgres-0	166m	330Mi
1777269818	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269818	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269818	1	postgres-0	166m	330Mi
1777269819	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269819	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269819	1	postgres-0	166m	330Mi
1777269820	1	hermod-coordinator-d9946cccf-5sb2r	977m	199Mi
1777269820	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269820	1	postgres-0	166m	330Mi
1777269821	1	hermod-coordinator-d9946cccf-5sb2r	1475m	217Mi
1777269821	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269821	1	postgres-0	467m	332Mi
1777269822	1	hermod-coordinator-d9946cccf-5sb2r	1475m	217Mi
1777269822	1	nanomq-bb9978857-vq9qk	401m	2Mi
1777269822	1	postgres-0	467m	332Mi
1777269844	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269844	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269844	2	postgres-0	467m	332Mi
1777269846	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269846	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269846	2	postgres-0	467m	332Mi
1777269847	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269847	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269847	2	postgres-0	467m	332Mi
1777269848	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269848	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269848	2	postgres-0	467m	332Mi
1777269849	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269849	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269849	2	postgres-0	467m	332Mi
1777269850	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269850	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269850	2	postgres-0	467m	332Mi
1777269851	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269851	2	nanomq-bb9978857-vq9qk	590m	1Mi
1777269851	2	postgres-0	467m	332Mi
1777269852	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269852	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269852	2	postgres-0	168m	333Mi
1777269853	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269853	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269853	2	postgres-0	168m	333Mi
1777269854	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269854	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269854	2	postgres-0	168m	333Mi
1777269855	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269855	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269855	2	postgres-0	168m	333Mi
1777269856	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269856	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269856	2	postgres-0	168m	333Mi
1777269857	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269857	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269857	2	postgres-0	168m	333Mi
1777269858	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269858	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269858	2	postgres-0	168m	333Mi
1777269859	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269859	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269859	2	postgres-0	168m	333Mi
1777269860	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269860	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269860	2	postgres-0	168m	333Mi
1777269861	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269861	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269861	2	postgres-0	168m	333Mi
1777269863	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269863	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269863	2	postgres-0	168m	333Mi
1777269864	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269864	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269864	2	postgres-0	168m	333Mi
1777269865	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269865	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269865	2	postgres-0	168m	333Mi
1777269866	2	hermod-coordinator-d9946cccf-5sb2r	846m	223Mi
1777269866	2	nanomq-bb9978857-vq9qk	24m	1Mi
1777269866	2	postgres-0	168m	333Mi
1777269867	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269867	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269867	2	postgres-0	265m	334Mi
1777269868	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269868	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269868	2	postgres-0	265m	334Mi
1777269869	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269869	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269869	2	postgres-0	265m	334Mi
1777269870	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269870	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269870	2	postgres-0	265m	334Mi
1777269871	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269871	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269871	2	postgres-0	265m	334Mi
1777269872	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269872	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269872	2	postgres-0	265m	334Mi
1777269873	2	hermod-coordinator-d9946cccf-5sb2r	919m	218Mi
1777269873	2	nanomq-bb9978857-vq9qk	500m	2Mi
1777269873	2	postgres-0	265m	334Mi
1777269896	3	hermod-coordinator-d9946cccf-5sb2r	1453m	228Mi
1777269896	3	nanomq-bb9978857-vq9qk	642m	1Mi
1777269896	3	postgres-0	367m	335Mi
1777269897	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269897	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269897	3	postgres-0	162m	335Mi
1777269898	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269898	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269898	3	postgres-0	162m	335Mi
1777269899	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269899	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269899	3	postgres-0	162m	335Mi
1777269900	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269900	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269900	3	postgres-0	162m	335Mi
1777269901	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269901	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269901	3	postgres-0	162m	335Mi
1777269902	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269902	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269902	3	postgres-0	162m	335Mi
1777269903	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269903	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269903	3	postgres-0	162m	335Mi
1777269904	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269904	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269904	3	postgres-0	162m	335Mi
1777269905	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269905	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269905	3	postgres-0	162m	335Mi
1777269906	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269906	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269906	3	postgres-0	162m	335Mi
1777269907	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269907	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269907	3	postgres-0	162m	335Mi
1777269908	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269908	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269908	3	postgres-0	162m	335Mi
1777269909	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269909	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269909	3	postgres-0	162m	335Mi
1777269910	3	hermod-coordinator-d9946cccf-5sb2r	31m	233Mi
1777269910	3	nanomq-bb9978857-vq9qk	8m	1Mi
1777269910	3	postgres-0	162m	335Mi
1777269911	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269911	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269911	3	postgres-0	238m	348Mi
1777269913	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269913	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269913	3	postgres-0	238m	348Mi
1777269914	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269914	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269914	3	postgres-0	238m	348Mi
1777269915	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269915	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269915	3	postgres-0	238m	348Mi
1777269916	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269916	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269916	3	postgres-0	238m	348Mi
1777269917	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269917	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269917	3	postgres-0	238m	348Mi
1777269918	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269918	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269918	3	postgres-0	238m	348Mi
1777269919	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269919	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269919	3	postgres-0	238m	348Mi
1777269920	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269920	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269920	3	postgres-0	238m	348Mi
1777269921	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269921	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269921	3	postgres-0	238m	348Mi
1777269922	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269922	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269922	3	postgres-0	238m	348Mi
1777269923	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269923	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269923	3	postgres-0	238m	348Mi
1777269924	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269924	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269924	3	postgres-0	238m	348Mi
1777269925	3	hermod-coordinator-d9946cccf-5sb2r	1380m	238Mi
1777269925	3	nanomq-bb9978857-vq9qk	431m	1Mi
1777269925	3	postgres-0	238m	348Mi
