ts	repeat	pod	cpu	mem
1777270015	1	hermod-coordinator-7f54785469-57gts	818m	74Mi
1777270015	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270015	1	postgres-0	112m	320Mi
1777270016	1	hermod-coordinator-7f54785469-57gts	818m	74Mi
1777270016	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270016	1	postgres-0	112m	320Mi
1777270017	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270017	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270017	1	postgres-0	124m	321Mi
1777270018	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270018	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270018	1	postgres-0	124m	321Mi
1777270019	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270019	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270019	1	postgres-0	124m	321Mi
1777270020	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270020	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270020	1	postgres-0	124m	321Mi
1777270021	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270021	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270021	1	postgres-0	124m	321Mi
1777270022	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270022	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270022	1	postgres-0	124m	321Mi
1777270023	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270023	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270023	1	postgres-0	124m	321Mi
1777270024	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270024	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270024	1	postgres-0	124m	321Mi
1777270025	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270025	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270025	1	postgres-0	124m	321Mi
1777270026	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270026	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270026	1	postgres-0	124m	321Mi
1777270027	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270027	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270027	1	postgres-0	124m	321Mi
1777270028	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270028	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270028	1	postgres-0	124m	321Mi
1777270029	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270029	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270029	1	postgres-0	124m	321Mi
1777270031	1	hermod-coordinator-7f54785469-57gts	212m	72Mi
1777270031	1	nanomq-84d7ff9f78-mjr8j	1m	1Mi
1777270031	1	postgres-0	124m	321Mi
1777270032	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270032	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270032	1	postgres-0	267m	325Mi
1777270033	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270033	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270033	1	postgres-0	267m	325Mi
1777270034	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270034	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270034	1	postgres-0	267m	325Mi
1777270035	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270035	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270035	1	postgres-0	267m	325Mi
1777270036	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270036	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270036	1	postgres-0	267m	325Mi
1777270037	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270037	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270037	1	postgres-0	267m	325Mi
1777270038	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270038	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270038	1	postgres-0	267m	325Mi
1777270039	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270039	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270039	1	postgres-0	267m	325Mi
1777270040	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270040	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270040	1	postgres-0	267m	325Mi
1777270041	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270041	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270041	1	postgres-0	267m	325Mi
1777270042	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270042	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270042	1	postgres-0	267m	325Mi
1777270043	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270043	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270043	1	postgres-0	267m	325Mi
1777270044	1	hermod-coordinator-7f54785469-57gts	1188m	210Mi
1777270044	1	nanomq-84d7ff9f78-mjr8j	397m	2Mi
1777270044	1	postgres-0	267m	325Mi
1777270066	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270066	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270066	2	postgres-0	325m	330Mi
1777270067	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270067	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270067	2	postgres-0	325m	330Mi
1777270069	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270069	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270069	2	postgres-0	325m	330Mi
1777270070	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270070	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270070	2	postgres-0	325m	330Mi
1777270071	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270071	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270071	2	postgres-0	325m	330Mi
1777270072	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270072	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270072	2	postgres-0	325m	330Mi
1777270073	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270073	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270073	2	postgres-0	325m	330Mi
1777270074	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270074	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270074	2	postgres-0	325m	330Mi
1777270075	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270075	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270075	2	postgres-0	325m	330Mi
1777270076	2	hermod-coordinator-7f54785469-57gts	1297m	301Mi
1777270076	2	nanomq-84d7ff9f78-mjr8j	716m	2Mi
1777270076	2	postgres-0	325m	330Mi
1777270077	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270077	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270077	2	postgres-0	105m	330Mi
1777270078	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270078	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270078	2	postgres-0	105m	330Mi
1777270079	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270079	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270079	2	postgres-0	105m	330Mi
1777270080	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270080	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270080	2	postgres-0	105m	330Mi
1777270081	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270081	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270081	2	postgres-0	105m	330Mi
1777270082	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270082	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270082	2	postgres-0	105m	330Mi
1777270083	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270083	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270083	2	postgres-0	105m	330Mi
1777270084	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270084	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270084	2	postgres-0	105m	330Mi
1777270085	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270085	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270085	2	postgres-0	105m	330Mi
1777270086	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270086	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270086	2	postgres-0	105m	330Mi
1777270088	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270088	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270088	2	postgres-0	105m	330Mi
1777270089	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270089	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270089	2	postgres-0	105m	330Mi
1777270090	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270090	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270090	2	postgres-0	105m	330Mi
1777270091	2	hermod-coordinator-7f54785469-57gts	148m	301Mi
1777270091	2	nanomq-84d7ff9f78-mjr8j	89m	2Mi
1777270091	2	postgres-0	105m	330Mi
1777270092	2	hermod-coordinator-7f54785469-57gts	1251m	274Mi
1777270092	2	nanomq-84d7ff9f78-mjr8j	576m	2Mi
1777270092	2	postgres-0	337m	337Mi
1777270093	2	hermod-coordinator-7f54785469-57gts	1251m	274Mi
1777270093	2	nanomq-84d7ff9f78-mjr8j	576m	2Mi
1777270093	2	postgres-0	337m	337Mi
1777270094	2	hermod-coordinator-7f54785469-57gts	1251m	274Mi
1777270094	2	nanomq-84d7ff9f78-mjr8j	576m	2Mi
1777270094	2	postgres-0	337m	337Mi
1777270095	2	hermod-coordinator-7f54785469-57gts	1251m	274Mi
1777270095	2	nanomq-84d7ff9f78-mjr8j	576m	2Mi
1777270095	2	postgres-0	337m	337Mi
1777270118	3	hermod-coordinator-7f54785469-57gts	1478m	249Mi
1777270118	3	nanomq-84d7ff9f78-mjr8j	675m	2Mi
1777270118	3	postgres-0	192m	334Mi
1777270119	3	hermod-coordinator-7f54785469-57gts	1478m	249Mi
1777270119	3	nanomq-84d7ff9f78-mjr8j	675m	2Mi
1777270119	3	postgres-0	192m	334Mi
1777270120	3	hermod-coordinator-7f54785469-57gts	1478m	249Mi
1777270120	3	nanomq-84d7ff9f78-mjr8j	675m	2Mi
1777270120	3	postgres-0	192m	334Mi
1777270121	3	hermod-coordinator-7f54785469-57gts	1478m	249Mi
1777270121	3	nanomq-84d7ff9f78-mjr8j	675m	2Mi
1777270121	3	postgres-0	192m	334Mi
1777270122	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270122	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270122	3	postgres-0	192m	334Mi
1777270123	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270123	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270123	3	postgres-0	192m	334Mi
1777270124	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270124	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270124	3	postgres-0	192m	334Mi
1777270125	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270125	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270125	3	postgres-0	192m	334Mi
1777270126	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270126	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270126	3	postgres-0	192m	334Mi
1777270127	3	hermod-coordinator-7f54785469-57gts	390m	258Mi
1777270127	3	nanomq-84d7ff9f78-mjr8j	60m	2Mi
1777270127	3	postgres-0	192m	334Mi
