ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777270190	3.17	3.21	2.65	1858	6079	16	12414936655	2100219010
1777270202	2.83	3.14	2.63	1868	6068	16	12416342699	2103324265
1777270213	3.00	3.16	2.65	1865	6071	16	12418284681	2107599560
1777270225	2.76	3.11	2.64	1847	6090	16	12420382620	2112215695
1777270236	2.49	3.04	2.62	1841	6095	16	12422462110	2116771537
1777270247	2.11	2.94	2.59	1859	6077	16	12423703999	2119522478
1777270258	1.78	2.84	2.56	1915	6021	16	12427957919	2120070068
1777270271	4.13	3.32	2.73	2072	5864	16	12447692935	2121244498
1777270282	5.02	3.54	2.80	2123	5813	16	12467318085	2122413900
1777270294	5.23	3.64	2.84	2129	5808	16	12474792191	2123018266
1777270305	4.59	3.55	2.82	2146	5790	16	12474853102	2123299209
1777270316	5.02	3.69	2.88	2170	5766	16	12488673891	2124226490
1777270327	5.24	3.78	2.92	2155	5782	16	12508140806	2125478968
1777270339	5.93	3.98	3.00	2180	5756	16	12525947080	2126828875
1777270350	4.97	3.87	2.97	2183	5753	16	12526005179	2127085331
1777270362	5.01	3.91	3.00	2180	5757	16	12530493558	2127608143
1777270373	5.60	4.07	3.06	2165	5771	16	12550153649	2128777002
1777270385	5.91	4.19	3.11	2169	5768	16	12569959553	2129955851
1777270396	5.94	4.29	3.16	2173	5763	16	12577069400	2130539470
