ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777270432	3.50	3.86	3.06	1857	6080	16	12577209659	2131197317
1777270444	3.20	3.78	3.04	1873	6063	16	12578735947	2134560118
1777270455	2.49	3.60	2.99	1854	6082	16	12580734824	2138992035
1777270466	2.35	3.53	2.98	1860	6077	16	12582838729	2143625993
1777270478	2.13	3.44	2.96	1847	6089	16	12584776070	2147871243
1777270489	1.88	3.35	2.93	1863	6074	16	12585987463	2150555146
1777270500	1.94	3.28	2.91	1944	5992	16	12590814304	2151126536
1777270512	3.03	3.47	2.98	2091	5846	16	12610207306	2152297190
1777270524	4.18	3.70	3.06	2132	5805	16	12630047713	2153466964
1777270536	5.01	3.93	3.14	2129	5807	16	12637073832	2154052354
1777270547	4.71	3.90	3.14	2144	5792	16	12637138366	2154336666
1777270558	5.53	4.10	3.22	2133	5804	16	12652069242	2155330910
1777270569	6.67	4.39	3.32	2164	5773	16	12671527540	2156513145
1777270581	6.85	4.55	3.39	2152	5785	16	12688197788	2157574067
1777270592	6.03	4.45	3.37	2161	5775	16	12688255883	2157830509
1777270603	5.10	4.30	3.33	2153	5783	16	12692653011	2158348839
1777270615	5.76	4.47	3.40	2170	5767	16	12712129002	2159526190
1777270627	6.91	4.79	3.52	2184	5753	16	12732101302	2160714696
1777270638	6.58	4.80	3.54	2188	5748	16	12739333364	2161307667
