ts	repeat	pod	cpu	mem
1777270498	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270498	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270498	1	postgres-0	154m	325Mi
1777270499	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270499	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270499	1	postgres-0	154m	325Mi
1777270501	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270501	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270501	1	postgres-0	154m	325Mi
1777270502	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270502	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270502	1	postgres-0	154m	325Mi
1777270503	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270503	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270503	1	postgres-0	154m	325Mi
1777270504	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270504	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270504	1	postgres-0	154m	325Mi
1777270505	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270505	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270505	1	postgres-0	154m	325Mi
1777270506	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270506	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270506	1	postgres-0	154m	325Mi
1777270507	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270507	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270507	1	postgres-0	154m	325Mi
1777270508	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270508	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270508	1	postgres-0	154m	325Mi
1777270509	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270509	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270509	1	postgres-0	154m	325Mi
1777270510	1	hermod-coordinator-74b88446fc-twm9x	673m	74Mi
1777270510	1	nanomq-6bc5b5d4c4-47bwd	1m	1Mi
1777270510	1	postgres-0	154m	325Mi
1777270511	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270511	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270511	1	postgres-0	48m	329Mi
1777270512	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270512	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270512	1	postgres-0	48m	329Mi
1777270513	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270513	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270513	1	postgres-0	48m	329Mi
1777270514	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270514	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270514	1	postgres-0	48m	329Mi
1777270515	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270515	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270515	1	postgres-0	48m	329Mi
1777270516	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270516	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270516	1	postgres-0	48m	329Mi
1777270517	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270517	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270517	1	postgres-0	48m	329Mi
1777270518	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270518	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270518	1	postgres-0	48m	329Mi
1777270520	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270520	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270520	1	postgres-0	48m	329Mi
1777270521	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270521	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270521	1	postgres-0	48m	329Mi
1777270522	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270522	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270522	1	postgres-0	48m	329Mi
1777270523	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270523	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270523	1	postgres-0	48m	329Mi
1777270524	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270524	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270524	1	postgres-0	48m	329Mi
1777270525	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270525	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270525	1	postgres-0	48m	329Mi
1777270526	1	hermod-coordinator-74b88446fc-twm9x	245m	151Mi
1777270526	1	nanomq-6bc5b5d4c4-47bwd	315m	2Mi
1777270526	1	postgres-0	48m	329Mi
1777270527	1	hermod-coordinator-74b88446fc-twm9x	1486m	294Mi
1777270527	1	nanomq-6bc5b5d4c4-47bwd	735m	2Mi
1777270527	1	postgres-0	343m	334Mi
1777270550	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270550	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270550	2	postgres-0	282m	335Mi
1777270551	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270551	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270551	2	postgres-0	282m	335Mi
1777270552	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270552	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270552	2	postgres-0	282m	335Mi
1777270553	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270553	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270553	2	postgres-0	282m	335Mi
1777270554	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270554	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270554	2	postgres-0	282m	335Mi
1777270555	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270555	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270555	2	postgres-0	282m	335Mi
1777270556	2	hermod-coordinator-74b88446fc-twm9x	1476m	323Mi
1777270556	2	nanomq-6bc5b5d4c4-47bwd	306m	2Mi
1777270556	2	postgres-0	282m	335Mi
1777270557	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270557	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270557	2	postgres-0	120m	335Mi
1777270558	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270558	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270558	2	postgres-0	120m	335Mi
1777270559	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270559	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270559	2	postgres-0	120m	335Mi
1777270560	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270560	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270560	2	postgres-0	120m	335Mi
1777270561	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270561	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270561	2	postgres-0	120m	335Mi
1777270562	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
1777270562	2	nanomq-6bc5b5d4c4-47bwd	112m	2Mi
1777270562	2	postgres-0	120m	335Mi
1777270563	2	hermod-coordinator-74b88446fc-twm9x	286m	337Mi
