ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777270668	4.31	4.42	3.45	1832	6104	16	12739454546	2161915801
1777270679	4.03	4.36	3.44	1868	6068	16	12740566737	2164406637
1777270690	3.30	4.17	3.40	1858	6078	16	12740705153	2164777696
1777270702	2.79	4.04	3.36	1902	6034	16	12744667213	2165511364
1777270713	3.28	4.10	3.39	1891	6046	16	12748611184	2166280430
1777270725	3.47	4.11	3.40	1913	6024	16	12751166326	2166953577
1777270736	2.77	3.93	3.35	1907	6029	16	12751222900	2167202684
1777270747	2.42	3.82	3.32	1917	6019	16	12752959888	2167728841
1777270758	2.13	3.71	3.29	1914	6022	16	12757100838	2168506374
1777270770	2.70	3.75	3.31	1907	6029	16	12761095102	2169277805
1777270782	2.44	3.66	3.29	1909	6027	16	12761813512	2169663865
1777270793	2.30	3.59	3.27	1901	6035	16	12761879731	2169955582
1777270804	2.17	3.52	3.25	1932	6004	16	12765452269	2170677823
1777270816	2.80	3.59	3.28	1904	6032	16	12769405820	2171447201
1777270827	2.81	3.57	3.27	1942	5995	16	12772396304	2172084987
1777270838	2.53	3.49	3.25	1925	6012	16	12772452774	2172334009
1777270850	2.30	3.41	3.22	1927	6009	16	12774065102	2172855180
1777270861	3.30	3.58	3.28	1930	6006	16	12778054097	2173626778
1777270872	3.24	3.56	3.28	1928	6008	16	12782044147	2174364165
1777270884	3.18	3.54	3.28	1929	6008	16	12783043941	2174793375
1777270895	2.83	3.45	3.25	1963	5974	16	12783108320	2175077679
1777270907	2.40	3.33	3.22	1944	5992	16	12786530862	2175801266
1777270918	2.86	3.40	3.24	1929	6007	16	12790468211	2176537469
1777270929	2.88	3.39	3.24	1943	5994	16	12793627723	2177219272
1777270940	2.56	3.29	3.21	1938	5998	16	12793684400	2177468497
