ts	repeat	pod	cpu	mem
1777270691	1	hermod-coordinator-7f48c8ffcd-6thzc	739m	80Mi
1777270691	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270691	1	postgres-0	24m	325Mi
1777270692	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270692	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270692	1	postgres-0	105m	325Mi
1777270693	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270693	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270693	1	postgres-0	105m	325Mi
1777270694	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270694	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270694	1	postgres-0	105m	325Mi
1777270695	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270695	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270695	1	postgres-0	105m	325Mi
1777270696	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270696	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270696	1	postgres-0	105m	325Mi
1777270697	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270697	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270697	1	postgres-0	105m	325Mi
1777270698	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270698	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270698	1	postgres-0	105m	325Mi
1777270699	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270699	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270699	1	postgres-0	105m	325Mi
1777270700	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270700	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270700	1	postgres-0	105m	325Mi
1777270701	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270701	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270701	1	postgres-0	105m	325Mi
1777270703	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270703	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270703	1	postgres-0	105m	325Mi
1777270704	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270704	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270704	1	postgres-0	105m	325Mi
1777270705	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270705	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270705	1	postgres-0	105m	325Mi
1777270706	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270706	1	nanomq-6bff899d4f-g22kq	1m	1Mi
1777270706	1	postgres-0	105m	325Mi
1777270707	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270707	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270707	1	postgres-0	136m	332Mi
1777270708	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270708	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270708	1	postgres-0	136m	332Mi
1777270709	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270709	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270709	1	postgres-0	136m	332Mi
1777270710	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270710	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270710	1	postgres-0	136m	332Mi
1777270711	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270711	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270711	1	postgres-0	136m	332Mi
1777270712	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270712	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270712	1	postgres-0	136m	332Mi
1777270713	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270713	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270713	1	postgres-0	136m	332Mi
1777270714	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270714	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270714	1	postgres-0	136m	332Mi
1777270715	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270715	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270715	1	postgres-0	136m	332Mi
1777270716	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
1777270716	1	nanomq-6bff899d4f-g22kq	29m	1Mi
1777270716	1	postgres-0	136m	332Mi
1777270717	1	hermod-coordinator-7f48c8ffcd-6thzc	235m	91Mi
