ts	pod	phase	restarts	ready	reason	last_termination
1777271265	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271265	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271265	postgres-0	Running	0	true	<none>	<none>
1777271276	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271276	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271276	postgres-0	Running	0	true	<none>	<none>
1777271287	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271287	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271287	postgres-0	Running	0	true	<none>	<none>
1777271299	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271299	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271299	postgres-0	Running	0	true	<none>	<none>
1777271310	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271310	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271310	postgres-0	Running	0	true	<none>	<none>
1777271321	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271321	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271321	postgres-0	Running	0	true	<none>	<none>
1777271333	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271333	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271333	postgres-0	Running	0	true	<none>	<none>
1777271344	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271344	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271344	postgres-0	Running	0	true	<none>	<none>
1777271356	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271356	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271356	postgres-0	Running	0	true	<none>	<none>
1777271367	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271367	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271367	postgres-0	Running	0	true	<none>	<none>
1777271378	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271378	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271378	postgres-0	Running	0	true	<none>	<none>
1777271390	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271390	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271390	postgres-0	Running	0	true	<none>	<none>
1777271401	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271401	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271401	postgres-0	Running	0	true	<none>	<none>
1777271413	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271413	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271413	postgres-0	Running	0	true	<none>	<none>
1777271424	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271424	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271424	postgres-0	Running	0	true	<none>	<none>
1777271435	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271435	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271435	postgres-0	Running	0	true	<none>	<none>
1777271447	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271447	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271447	postgres-0	Running	0	true	<none>	<none>
1777271458	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271458	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271458	postgres-0	Running	0	true	<none>	<none>
1777271470	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271470	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271470	postgres-0	Running	0	true	<none>	<none>
1777271481	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271481	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271481	postgres-0	Running	0	true	<none>	<none>
1777271492	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271492	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271492	postgres-0	Running	0	true	<none>	<none>
1777271504	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271504	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271504	postgres-0	Running	0	true	<none>	<none>
1777271515	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271515	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271515	postgres-0	Running	0	true	<none>	<none>
1777271526	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271526	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271526	postgres-0	Running	0	true	<none>	<none>
1777271538	hermod-coordinator-58987bd45c-5mqrd	Running	0	true	<none>	<none>
1777271538	nanomq-5b8db4c554-b876v	Running	0	true	<none>	<none>
1777271538	postgres-0	Running	0	true	<none>	<none>
