ts	repeat	pod	cpu	mem
1777271287	1	hermod-coordinator-58987bd45c-5mqrd	625m	74Mi
1777271287	1	nanomq-5b8db4c554-b876v	3m	1Mi
1777271287	1	postgres-0	78m	325Mi
1777271288	1	hermod-coordinator-58987bd45c-5mqrd	625m	74Mi
1777271288	1	nanomq-5b8db4c554-b876v	3m	1Mi
1777271288	1	postgres-0	78m	325Mi
1777271289	1	hermod-coordinator-58987bd45c-5mqrd	625m	74Mi
1777271289	1	nanomq-5b8db4c554-b876v	3m	1Mi
1777271289	1	postgres-0	78m	325Mi
1777271290	1	hermod-coordinator-58987bd45c-5mqrd	625m	74Mi
1777271290	1	nanomq-5b8db4c554-b876v	3m	1Mi
1777271290	1	postgres-0	78m	325Mi
1777271291	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271291	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271291	1	postgres-0	39m	330Mi
1777271293	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271293	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271293	1	postgres-0	39m	330Mi
1777271294	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271294	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271294	1	postgres-0	39m	330Mi
1777271295	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271295	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271295	1	postgres-0	39m	330Mi
1777271296	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271296	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271296	1	postgres-0	39m	330Mi
1777271297	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271297	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271297	1	postgres-0	39m	330Mi
1777271298	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271298	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271298	1	postgres-0	39m	330Mi
1777271299	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271299	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271299	1	postgres-0	39m	330Mi
1777271300	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271300	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271300	1	postgres-0	39m	330Mi
1777271301	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271301	1	nanomq-5b8db4c554-b876v	1m	1Mi
1777271301	1	postgres-0	39m	330Mi
1777271302	1	hermod-coordinator-58987bd45c-5mqrd	460m	108Mi
1777271302	1	nanomq-5b8db4c554-b876v	1m	1Mi
