ts	pid	vm_rss_kb	vm_size_kb	threads	rchar	wchar	read_bytes	write_bytes
1777271566	1	128400	8532344	20	359658	4497	0	4096
1777271577	1	180476	8606176	21	405658	335414	0	4096
1777271588	1	181220	8606168	21	405674	335414	0	4096
1777271600	1	252016	8681772	22	489698	335947	0	4096
1777271612	1	247880	8755600	23	562268	335956	0	4096
1777271623	1	237132	8755596	23	611282	335956	0	4096
1777271634	1	237156	8755572	22	611284	335988	0	4096
1777271646	1	247272	8755524	20	665399	336004	0	4096
1777271657	1	238572	8755528	20	743533	336004	0	4096
1777271669	1	252592	8755548	21	821722	336019	0	4096
1777271680	1	242512	8755528	20	831005	336035	0	4096
1777271692	1	242596	8829416	24	850306	336112	0	4096
1777271703	1	248308	9198492	29	924910	336187	0	4096
1777271714	1	254816	9201692	29	1000369	336203	0	4096
1777271726	1	248792	9201640	27	1044572	336219	0	4096
1777271738	1	249936	9160204	20	1044573	336235	0	4096
1777271749	1	260644	9151944	20	1097774	336267	0	4096
1777271760	1	241792	9151964	21	1177831	336298	0	4096
1777271771	1	260260	9151960	21	1257850	336298	0	4096
1777271783	1	244808	9151940	20	1262500	336314	0	4096
1777271794	1	245144	9151940	20	1262502	336346	0	4096
1777271806	1	246296	9151936	20	1364504	336362	0	4096
1777271818	1	252448	9151940	20	1442721	336393	0	4096
1777271829	1	246616	9151940	20	1487838	336409	0	4096
1777271840	1	246616	9151960	21	1487839	336425	0	4096
