ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777271565	1.99	2.54	2.94	1799	6137	16	12952610136	2211472112
1777271576	1.83	2.48	2.91	1833	6103	16	12953716877	2213943306
1777271588	1.95	2.48	2.91	1839	6097	16	12953793082	2214277681
1777271599	1.80	2.44	2.89	1928	6008	16	12961442439	2215131078
1777271611	2.91	2.66	2.95	1918	6018	16	12969221342	2215988322
1777271622	2.91	2.67	2.95	1917	6020	16	12974326039	2216720671
1777271634	2.69	2.63	2.94	1915	6022	16	12974382396	2216969619
1777271645	2.36	2.56	2.91	1928	6008	16	12977771911	2217533636
1777271656	3.80	2.87	3.01	1926	6010	16	12985651500	2218396950
1777271668	3.36	2.81	2.99	1931	6006	16	12993885486	2219272155
1777271680	2.85	2.72	2.95	1937	5999	16	12994993893	2219629937
1777271691	2.28	2.60	2.91	1920	6017	16	12995060246	2219921541
1777271702	2.01	2.53	2.89	1930	6006	16	13002673494	2220775930
1777271714	2.37	2.59	2.90	1935	6001	16	13010531642	2221637317
1777271725	2.64	2.64	2.91	1929	6007	16	13015606682	2222319895
1777271737	2.12	2.53	2.87	1951	5985	16	13015663192	2222569002
1777271748	2.36	2.56	2.88	1938	5998	16	13019241676	2223137675
1777271759	2.81	2.66	2.91	1942	5994	16	13026994922	2223993060
1777271771	3.85	2.90	2.98	1950	5986	16	13034752403	2224849288
1777271782	3.26	2.81	2.95	1953	5983	16	13036264390	2225219481
1777271793	2.76	2.71	2.92	1947	5989	16	13036330651	2225511251
1777271805	3.41	2.85	2.96	1975	5961	16	13043974679	2226365400
1777271817	5.66	3.38	3.14	1945	5991	16	13051883956	2227227692
1777271828	5.31	3.39	3.14	1957	5979	16	13056860138	2227869725
1777271839	4.50	3.27	3.11	1949	5987	16	13056916704	2228118877
