ts	repeat	pod	cpu	mem
1777271893	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271894	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271895	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271896	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271897	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271898	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271899	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271901	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271902	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271903	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271904	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271905	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271906	1	nanomq-756fd88db6-j7w6c	3m	1Mi
1777271907	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271907	1	postgres-0	6m	22Mi
1777271908	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271908	1	postgres-0	6m	22Mi
1777271909	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271909	1	postgres-0	6m	22Mi
1777271910	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271910	1	postgres-0	6m	22Mi
1777271911	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271911	1	postgres-0	6m	22Mi
1777271912	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271912	1	postgres-0	6m	22Mi
1777271913	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271913	1	postgres-0	6m	22Mi
1777271914	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271914	1	postgres-0	6m	22Mi
1777271915	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271915	1	postgres-0	6m	22Mi
1777271916	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271916	1	postgres-0	6m	22Mi
1777271918	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271918	1	postgres-0	6m	22Mi
1777271919	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271919	1	postgres-0	6m	22Mi
1777271920	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271920	1	postgres-0	6m	22Mi
1777271921	1	nanomq-756fd88db6-j7w6c	12m	1Mi
1777271921	1	postgres-0	6m	22Mi
1777271922	1	nanomq-756fd88db6-j7w6c	17m	1Mi
1777271922	1	postgres-0	4m	22Mi
