ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777272129	0.46	1.58	2.43	1494	6442	15	13061582046	2236374680
1777272139	0.47	1.54	2.41	1489	6448	15	13062579714	2236831031
1777272150	0.52	1.50	2.38	1513	6423	15	13063619230	2237293596
1777272161	0.58	1.48	2.36	1487	6450	15	13064359851	2237670265
1777272172	0.49	1.43	2.34	1494	6442	15	13064390482	2237746604
1777272183	0.57	1.42	2.32	1494	6443	15	13065216006	2238204159
1777272194	0.48	1.37	2.30	1495	6441	15	13066215394	2238663017
1777272204	0.41	1.33	2.27	1491	6445	15	13067184978	2239086186
1777272215	0.40	1.28	2.24	1519	6418	15	13067215627	2239159999
1777272226	0.34	1.23	2.22	1494	6443	15	13067889875	2239499921
1777272237	0.36	1.21	2.20	1498	6438	15	13068881992	2239955825
1777272248	0.30	1.17	2.17	1492	6444	15	13069884021	2240445998
1777272259	0.26	1.13	2.15	1497	6439	15	13070029570	2240524939
1777272269	0.22	1.09	2.13	1489	6447	15	13070515019	2240789055
1777272280	0.17	1.04	2.09	1521	6415	15	13071552134	2241280791
1777272291	0.22	1.02	2.07	1497	6439	15	13072551219	2241737007
1777272302	0.18	0.99	2.05	1490	6446	15	13072855641	2241924629
1777272313	0.15	0.95	2.03	1495	6442	15	13073142598	2242111866
1777272324	0.37	0.97	2.02	1494	6442	15	13074134824	2242568093
1777272334	0.31	0.94	2.00	1493	6443	15	13075142561	2243059070
1777272345	0.34	0.92	1.98	1517	6419	15	13075673331	2243290628
