ts	pod	phase	restarts	ready	reason	last_termination
1777272364	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272364	postgres-0	Running	0	true	<none>	<none>
1777272375	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272375	postgres-0	Running	0	true	<none>	<none>
1777272386	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272386	postgres-0	Running	0	true	<none>	<none>
1777272397	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272397	postgres-0	Running	0	true	<none>	<none>
1777272408	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272408	postgres-0	Running	0	true	<none>	<none>
1777272419	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272419	postgres-0	Running	0	true	<none>	<none>
1777272429	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272429	postgres-0	Running	0	true	<none>	<none>
1777272440	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272440	postgres-0	Running	0	true	<none>	<none>
1777272451	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272451	postgres-0	Running	0	true	<none>	<none>
1777272462	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272462	postgres-0	Running	0	true	<none>	<none>
1777272473	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272473	postgres-0	Running	0	true	<none>	<none>
1777272484	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272484	postgres-0	Running	0	true	<none>	<none>
1777272494	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272494	postgres-0	Running	0	true	<none>	<none>
1777272505	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272505	postgres-0	Running	0	true	<none>	<none>
1777272516	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272516	postgres-0	Running	0	true	<none>	<none>
1777272526	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272526	postgres-0	Running	0	true	<none>	<none>
1777272538	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272538	postgres-0	Running	0	true	<none>	<none>
1777272548	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272548	postgres-0	Running	0	true	<none>	<none>
1777272559	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272559	postgres-0	Running	0	true	<none>	<none>
1777272570	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272570	postgres-0	Running	0	true	<none>	<none>
1777272581	nanomq-b7b5bfccc-qh67d	Running	0	true	<none>	<none>
1777272581	postgres-0	Running	0	true	<none>	<none>
