ts	repeat	pod	cpu	mem
1777272364	1	postgres-0	6m	23Mi
1777272365	1	postgres-0	6m	23Mi
1777272366	1	postgres-0	6m	23Mi
1777272367	1	postgres-0	6m	23Mi
1777272368	1	postgres-0	6m	23Mi
1777272369	1	postgres-0	6m	23Mi
1777272370	1	postgres-0	6m	23Mi
1777272372	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272372	1	postgres-0	4m	23Mi
1777272373	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272373	1	postgres-0	4m	23Mi
1777272374	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272374	1	postgres-0	4m	23Mi
1777272375	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272375	1	postgres-0	4m	23Mi
1777272376	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272376	1	postgres-0	4m	23Mi
1777272377	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272377	1	postgres-0	4m	23Mi
1777272378	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272378	1	postgres-0	4m	23Mi
1777272379	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272379	1	postgres-0	4m	23Mi
1777272380	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272380	1	postgres-0	4m	23Mi
1777272381	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272381	1	postgres-0	4m	23Mi
1777272382	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272382	1	postgres-0	4m	23Mi
1777272383	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272383	1	postgres-0	4m	23Mi
1777272384	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272384	1	postgres-0	4m	23Mi
1777272385	1	nanomq-b7b5bfccc-qh67d	55m	1Mi
1777272385	1	postgres-0	4m	23Mi
1777272386	1	nanomq-b7b5bfccc-qh67d	102m	1Mi
1777272386	1	postgres-0	6m	23Mi
1777272387	1	nanomq-b7b5bfccc-qh67d	102m	1Mi
1777272387	1	postgres-0	6m	23Mi
