ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777273070	2.96	2.53	2.17	1494	6443	15	13259788277	2269217244
1777273081	2.89	2.53	2.18	1488	6448	15	13274306986	2270063361
1777273092	2.45	2.45	2.15	1490	6447	15	13288937479	2270933133
1777273103	2.88	2.55	2.19	1488	6448	15	13300334455	2271626058
1777273113	2.51	2.48	2.17	1520	6417	15	13300368726	2271707616
1777273125	2.13	2.40	2.15	1505	6431	15	13312209973	2272446974
1777273135	2.62	2.50	2.18	1495	6442	15	13326803167	2273306028
1777273146	2.74	2.53	2.20	1496	6441	15	13341175155	2274118762
1777273157	2.39	2.46	2.18	1487	6449	15	13341205855	2274192662
1777273168	2.02	2.38	2.15	1486	6451	15	13350119984	2274774296
1777273178	1.79	2.31	2.14	1489	6448	15	13365490728	2275691891
1777273190	1.59	2.25	2.12	1494	6442	15	13380108931	2276549939
1777273200	1.42	2.20	2.10	1490	6447	15	13382042077	2276681832
1777273211	1.11	2.09	2.07	1487	6450	15	13388838863	2277128678
1777273222	1.31	2.10	2.07	1491	6445	15	13403511334	2278023066
1777273233	1.34	2.08	2.06	1490	6446	15	13418197396	2278888996
1777273243	1.14	2.01	2.04	1516	6421	15	13422894320	2279172401
1777273255	0.96	1.95	2.02	1494	6442	15	13427458106	2279519114
1777273265	0.81	1.88	2.00	1476	6460	15	13442022660	2280369015
1777273276	1.02	1.87	1.99	1483	6453	15	13456668203	2281227719
1777273287	1.01	1.84	1.98	1491	6446	15	13463710771	2281684326
