ts	pod	phase	restarts	ready	reason	last_termination
1777274208	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274208	postgres-0	Running	0	true	<none>	<none>
1777274219	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274219	postgres-0	Running	0	true	<none>	<none>
1777274230	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274230	postgres-0	Running	0	true	<none>	<none>
1777274241	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274241	postgres-0	Running	0	true	<none>	<none>
1777274252	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274252	postgres-0	Running	0	true	<none>	<none>
1777274262	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274262	postgres-0	Running	0	true	<none>	<none>
1777274273	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274273	postgres-0	Running	0	true	<none>	<none>
1777274284	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274284	postgres-0	Running	0	true	<none>	<none>
1777274295	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274295	postgres-0	Running	0	true	<none>	<none>
1777274306	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274306	postgres-0	Running	0	true	<none>	<none>
1777274317	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274317	postgres-0	Running	0	true	<none>	<none>
1777274327	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274327	postgres-0	Running	0	true	<none>	<none>
1777274338	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274338	postgres-0	Running	0	true	<none>	<none>
1777274349	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274349	postgres-0	Running	0	true	<none>	<none>
1777274360	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274360	postgres-0	Running	0	true	<none>	<none>
1777274371	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274371	postgres-0	Running	0	true	<none>	<none>
1777274382	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274382	postgres-0	Running	0	true	<none>	<none>
1777274392	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274392	postgres-0	Running	0	true	<none>	<none>
1777274403	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274403	postgres-0	Running	0	true	<none>	<none>
1777274414	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274414	postgres-0	Running	0	true	<none>	<none>
1777274425	mosquitto-cc9cc9c74-sdvd5	Running	0	true	<none>	<none>
1777274425	postgres-0	Running	0	true	<none>	<none>
