ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777274914	0.21	0.36	0.87	1496	6440	15	14951066761	2345031176
1777274925	0.34	0.38	0.87	1493	6444	15	14980165446	2346326612
1777274936	0.34	0.38	0.86	1527	6409	15	15010840047	2347705183
1777274947	0.29	0.36	0.85	1494	6442	15	15032156829	2348632261
1777274958	0.25	0.35	0.84	1500	6437	15	15032187618	2348706118
1777274968	0.21	0.34	0.83	1497	6439	15	15057350043	2349854528
1777274979	0.26	0.34	0.83	1502	6434	15	15086569062	2351155979
1777274990	0.22	0.33	0.82	1501	6435	15	15113751781	2352359606
1777275001	0.32	0.35	0.82	1535	6402	15	15113782519	2352433287
1777275012	0.35	0.35	0.82	1499	6437	15	15134469774	2353411192
1777275023	0.29	0.34	0.81	1507	6429	15	15163723175	2354719396
1777275033	0.33	0.35	0.80	1497	6440	15	15192968992	2356056531
1777275044	0.28	0.34	0.79	1503	6433	15	15195398585	2356237123
1777275055	0.31	0.34	0.79	1504	6432	15	15209025440	2356890959
1777275066	0.40	0.36	0.79	1525	6411	15	15239535103	2358255290
1777275077	0.34	0.34	0.78	1503	6433	15	15268760310	2359547847
1777275088	0.29	0.33	0.77	1496	6440	15	15276988321	2359936259
1777275098	0.32	0.34	0.77	1499	6437	15	15286112202	2360423306
1777275109	0.27	0.33	0.76	1498	6438	15	15315326027	2361724402
1777275120	0.31	0.33	0.76	1500	6436	15	15344604744	2363029081
1777275131	0.26	0.32	0.75	1529	6407	15	15358577054	2363661406
